Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,,전날 종가와 오늘 시가의 오차
2021-01-18,419.7,419.7,408.69,410.5,289243338,-0.0236,0,-9.93,1.74E+13,1.83E+15,-0.023618676,0.189027175,61.05728623,423.806,399.1165,359.7181667,445.5088417,352.7241583,10.85,0.29
2021-01-19,410.21,423.82,409.67,421.35,259933858,0.0264,1,10.85,1.72E+13,1.88E+15,0.026431181,-0.329936375,66.41326097,422.502,401.584,361.5111667,447.1877272,355.9802728,2.66,3.82
2021-01-20,425.17,429.39,419.27,424.01,259501502,0.0063,1,2.66,1.89E+13,1.89E+15,0.006313041,-0.618791556,67.59012489,421.228,404.207,363.3315,448.618218,359.795782,6.26,1.28
2021-01-21,425.29,431.05,424.64,430.27,302482033,0.0148,1,6.26,1.92E+13,1.92E+15,0.014763803,-0.517123063,70.23352663,421.312,407.1115,365.2771667,450.3471572,363.8758428,3.14,0.46
2021-01-22,430.73,433.84,427.13,427.13,269257473,-0.0073,0,-3.14,1.91E+13,1.91E+15,-0.007297743,-0.774718939,67.26974897,422.652,410.1465,367.1993333,449.9161911,370.3768089,10.17,0.51
2021-01-25,427.64,437.96,427.17,437.3,231210711,0.0238,1,10.17,1.56E+13,1.95E+15,0.023810081,-0.392812313,71.46918786,428.012,413.4455,369.2681667,450.6484276,376.2425724,10.57,1.03
2021-01-26,436.27,437.19,425.64,426.73,236600961,-0.0242,0,-10.57,1.77E+13,1.91E+15,-0.02417105,-0.952781133,62.49444413,429.088,415.823,371.2146667,449.9099254,381.7360746,3.06,0.38
2021-01-27,427.11,432.62,423.23,423.67,205609157,-0.0072,0,-3.06,1.59E+13,1.89E+15,-0.007170811,-1.592302509,60.13995113,429.02,418.01,373.2491667,447.9673063,388.0526937,7.27,0.75
2021-01-28,422.92,422.92,413.34,416.4,242941275,-0.0172,0,-7.27,1.70E+13,1.86E+15,-0.017159582,-2.513204303,54.85245868,426.246,419.7665,375.09,444.5788343,394.9541657,11.84,1.52
2021-01-29,417.92,421.05,402.94,404.56,305296720,-0.0284,0,-11.84,2.00E+13,1.81E+15,-0.028434198,-3.848113322,47.5241607,421.732,420.53,376.6315,442.2970467,398.7629533,10.89,0.15
2021-02-01,404.71,415.53,400.59,415.45,235012200,0.0269,1,10.89,1.65E+13,1.86E+15,0.026918133,-3.913189784,53.6568808,417.362,421.3085,378.3251667,441.0887136,401.5282864,5.58,1.32
2021-02-02,416.77,427.63,416.77,421.03,219043953,0.0134,1,5.58,1.49E+13,1.88E+15,0.013431219,-3.508901228,56.46443978,416.222,422.0585,379.9838333,440.5608202,403.5561798,4.18,1.66
2021-02-03,422.69,427.51,419.75,425.21,248282011,0.0099,1,4.18,1.77E+13,1.90E+15,0.009928034,-2.912964481,58.49301708,416.53,423.215,381.7023333,439.3129558,407.1170442,6.9,0.71
2021-02-04,425.92,426.23,415.58,418.31,263572408,-0.0162,0,-6.9,1.58E+13,1.87E+15,-0.016227276,-2.928606828,54.01848795,416.912,423.59,383.2436667,438.8417763,408.3382237,4.99,1.53
2021-02-05,419.84,424.2,417.85,423.3,221559610,0.0119,1,4.99,1.43E+13,1.90E+15,0.011928952,-2.561288196,56.60390218,420.66,423.244,384.8631667,438.1893423,408.2986577,4.35,1
2021-02-08,422.3,424.62,418.37,418.95,229540785,-0.0103,0,-4.35,1.48E+13,1.87E+15,-0.0102764,-2.563411777,53.76581015,421.36,422.635,386.327,437.2339596,408.0360404,1.04,1.76
2021-02-09,420.71,424.94,417.87,417.91,201526571,-0.0025,0,-1.04,1.30E+13,1.87E+15,-0.002482396,-2.579904257,53.08056744,420.736,422.137,387.7968333,436.667027,407.606973,1.74,0.49
2021-02-10,418.4,421.48,414.77,419.65,184756562,0.0042,1,1.74,1.30E+13,1.88E+15,0.004163576,-2.421245093,54.13381732,419.624,421.6005,389.2405,435.6581662,407.5428338,7.36,1.2
2021-02-15,420.85,428.64,420.6,427.01,191241854,0.0175,1,7.36,1.28E+13,1.91E+15,0.017538425,-1.796947668,58.38883877,421.364,421.4585,390.6801667,435.2345303,407.6824697,2.23,0.79
2021-02-16,427.8,432.25,426.73,429.24,176073456,0.0052,1,2.23,1.14E+13,1.92E+15,0.00522236,-1.236812914,59.61142478,422.552,421.899,392.17,436.0729774,407.7250226,5.04,0.04
2021-02-17,429.2,429.24,421.77,424.2,230412028,-0.0117,0,-5.04,1.13E+13,1.90E+15,-0.011741683,-1.207392737,55.63298913,423.602,422.584,393.574,435.7785525,409.3894475,6.76,0.28
2021-02-18,423.92,425.38,417.44,417.44,181374243,-0.0159,0,-6.76,1.12E+13,1.87E+15,-0.015935879,-1.619170919,50.74143951,423.508,422.3885,394.862,435.7650067,409.0119933,3.5,0.54
2021-02-19,417.98,421.36,411.58,420.94,246865672,0.0084,1,3.5,1.27E+13,1.88E+15,0.008384438,-1.627437944,53.04349539,423.766,422.235,396.2006667,435.6040112,408.8659888,4.06,1.02
2021-02-22,421.96,425.9,416.8,416.88,272967210,-0.0096,0,-4.06,1.34E+13,1.87E+15,-0.00964508,-1.8611109,50.11754724,421.74,421.5655,397.341,434.5947171,408.5362829,1.06,1.81
2021-02-23,415.07,419.58,410.84,415.82,228354649,-0.0025,0,-1.06,1.29E+13,1.86E+15,-0.002542698,-2.028119564,49.35211843,419.056,421,398.4333333,433.9957978,408.0042022,8.66,0.04
2021-02-24,415.78,420.05,406.86,407.16,252631827,-0.0208,0,-8.66,1.60E+13,1.82E+15,-0.020826319,-2.624981222,43.50608005,415.648,419.493,399.4143333,431.5336679,407.4523321,15.36,4.89
2021-02-25,412.05,422.56,412.05,422.52,200314619,0.0377,1,15.36,1.28E+13,1.88E+15,0.037724727,-1.921094786,53.93001985,416.664,419.2825,400.5876667,430.9511827,407.6138173,12.61,1.33
2021-02-26,421.19,421.19,406.59,409.91,297499163,-0.0298,0,-12.61,1.76E+13,1.83E+15,-0.029844741,-2.219425028,46.36621398,414.458,418.5945,401.5406667,430.7593469,406.4296531,4.89,1.09
2021-03-02,411,422.41,411,414.8,229886741,0.0119,1,4.89,1.48E+13,1.85E+15,0.011929448,-2.008418669,49.33382109,414.042,418.5145,402.6865,430.7568192,406.2721808,5.47,0.35
2021-03-03,414.45,420.27,412.4,420.27,198308092,0.0132,1,5.47,1.07E+13,1.87E+15,0.013187078,-1.447639459,52.49992656,414.932,419.3,403.8176667,429.7439973,408.8560027,6.1,0.93
2021-03-04,419.34,419.34,411.28,414.17,214045345,-0.0145,0,-6.1,1.25E+13,1.85E+15,-0.014514479,-1.432097283,48.83499738,416.334,419.236,404.7428333,429.7887047,408.6832953,2.17,0.85
2021-03-05,413.32,413.78,405.93,412,293665559,-0.0052,0,-2.17,1.27E+13,1.84E+15,-0.005239394,-1.505046405,47.56298717,414.23,418.7845,405.5818333,429.7559365,407.8130635,3.66,0.86
2021-03-08,412.86,416.37,407.6,408.34,216887933,-0.0089,0,-3.66,1.06E+13,1.82E+15,-0.008883495,-1.721294059,45.41437135,413.916,417.941,406.2603333,429.3903037,406.4916963,2.55,1.01
2021-03-09,407.33,408.83,399.37,405.79,313260974,-0.0062,0,-2.55,1.42E+13,1.81E+15,-0.006244796,-1.941261613,43.92552333,412.114,417.315,406.8591667,429.92536,404.70464,2.31,0.58
2021-03-10,406.37,411.22,402.37,403.48,172526940,-0.0057,0,-2.31,1.05E+13,1.79E+15,-0.0056926,-2.132288899,42.56420992,408.756,416.324,407.5263333,429.9698879,402.6781121,7.54,0.88
2021-03-11,404.36,413.24,404.36,411.02,231925366,0.0187,1,7.54,1.20E+13,1.83E+15,0.018687419,-1.661699112,48.20655947,408.126,415.9275,408.1855,429.7053342,402.1496658,5.11,2.65
2021-03-12,413.67,417.76,413.67,416.13,184655332,0.0124,1,5.11,9.22E+12,1.85E+15,0.012432485,-0.952379231,51.67164262,408.952,415.8385,408.9648333,429.5869243,402.0900757,1.95,0.45
2021-03-15,416.58,417.69,413.61,414.18,161313087,-0.0047,0,-1.95,8.17E+12,1.85E+15,-0.004686036,-0.578993714,50.2889989,410.12,415.565,409.6638333,429.2165413,401.9134587,3.13,0.64
2021-03-16,414.82,418.06,414.11,417.31,155155466,0.0076,1,3.13,9.14E+12,1.86E+15,0.007557101,-0.110225458,52.48669514,412.424,415.08,410.4263333,427.7225899,402.4374101,3.3,0.04
2021-03-17,417.35,417.67,411.32,414.01,132771769,-0.0079,0,-3.3,9.54E+12,1.84E+15,-0.00790779,-0.016343108,49.97799766,414.53,414.3185,411.1451667,425.1648547,403.4721453,3.05,0.96
2021-03-18,414.97,420.86,414.97,417.06,164055494,0.0074,1,3.05,1.07E+13,1.86E+15,0.007366972,0.242925966,52.24967168,415.738,413.9615,411.8873333,423.9167986,404.0062014,4.15,0.36
2021-03-19,416.7,416.71,410.59,412.91,189021500,-0.01,0,-4.15,1.03E+13,1.84E+15,-0.009950607,0.132224064,48.98963784,415.094,413.735,412.5691667,423.5688141,403.9011859,0.27,0.01
2021-03-22,412.92,414.48,410.27,412.64,270009012,-0.0007,0,-0.27,9.57E+12,1.84E+15,-0.000653896,0.042745868,48.77640764,414.786,413.32,413.254,422.5867362,404.0532638,3.93,0.25
2021-03-23,412.89,416.15,408.4,408.71,234499879,-0.0095,0,-3.93,1.07E+13,1.82E+15,-0.00952404,-0.2624092,45.66107734,413.066,412.9115,413.8628333,422.2346224,403.5883776,1.61,1.39
