Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-12-30,381.21,390.04,379.14,389.29,236858021,0.021,1,8.02,12816206027510,1738774271201265,0.021034962100348942,0.1682637319308462,77.22974776755868,380.198,371.623,340.95483333333334,385.17902021243725,358.06697978756273
2021-01-04,389.5,400.78,388.88,399.88,361886757,0.027200000000000002,1,10.59,20828370493095,1784090577127965,0.0272033702381258,1.1087624095640969,81.633373062976,385.91,373.684,342.3786666666667,390.7971100621719,356.57088993782816
2021-01-05,399.79,406.03,396.43,406.03,470868837,0.0154,1,6.15,20755374346434,1812771676767455,0.015379613884165089,1.943120162197399,83.61512579985379,391.28000000000003,375.90250000000003,343.8566666666666,397.1982506324621,354.606749367538
2021-01-06,406.33,411.21,401.06,402.08,429077337,-0.0097,0,-3.95,22700275121526,1796879691590095,-0.00972834519616772,2.018225258767435,77.80812762229712,395.71,377.625,345.26683333333335,401.39486369334094,353.85513630665906
2021-01-07,404.0,414.65,403.99,410.81,460331917,0.0217,1,8.73,20865124437686,1836630326396780,0.021712097095105465,2.4181164000159843,80.95606052066832,401.618,379.6725,346.79449999999997,407.17572153857634,352.1692784614237
2021-01-08,412.06,431.99,412.06,430.22,499112018,0.0472,1,19.41,34756755069426,1916277931751530,0.047248119568657154,3.676675460667168,85.78435761186746,409.804,383.01099999999997,348.6385,417.2194918697099,348.80250813029005
2021-01-11,431.69,449.04,424.16,431.13,545782057,0.0021,1,0.91,37379963637404,1916523199554880,0.0021151968760169115,4.2184485246916985,85.96402951945777,416.054,385.994,350.5478333333333,425.63080683405275,346.3571931659473
2021-01-12,430.8,432.04,416.29,427.87,362364717,-0.0076,0,-3.26,24623958345963,1901278805074785,-0.0075615243662003895,4.006819017617433,81.96720828624765,420.422,388.919,352.447,431.7244010143581,346.1135989856419
2021-01-13,427.98,433.27,424.97,430.38,303667329,0.0059,1,2.51,19059128104342,1914300756388190,0.005866267791619029,3.6931609124644194,82.63658991138468,426.082,391.82599999999996,354.4228333333333,437.50602688265417,346.14597311734576
2021-01-14,430.43,431.54,427.13,429.85,284702447,-0.0012,0,-0.53,18495731422750,1914187534594205,-0.0012314698638411503,3.129572576050723,81.94488714420382,429.89000000000004,394.7405,356.3771666666667,442.27691108666085,347.20408891333915
2021-01-15,430.37,436.35,420.33,420.43,279520880,-0.0219,0,-9.42,17436391345142,1873887676290135,-0.021914621379551025,1.8644050842291335,70.62897097888197,427.93199999999996,397.218,358.13916666666665,444.68676598353926,349.7492340164608
2021-01-18,419.7,419.7,408.69,410.5,289243338,-0.0236,0,-9.93,17355190753399,1829257129745665,-0.0236186761173085,0.18902717529181245,61.05728622634844,423.8059999999999,399.1165,359.71816666666666,445.50884172791893,352.724158272081
2021-01-19,410.21,423.82,409.67,421.35,259933858,0.0264,1,10.85,17238118030260,1877750837103850,0.026431181485992772,-0.32993637461763825,66.41326097074446,422.50200000000007,401.584,361.5111666666667,447.1877272160951,355.9802727839049
2021-01-20,425.17,429.39,419.27,424.01,259501502,0.0063,1,2.66,18866564217586,1890817927321200,0.006313041414500953,-0.6187915558543224,67.5901248870901,421.22799999999995,404.207,363.3315,448.61821799725845,359.79578200274153
2021-01-21,425.29,431.05,424.64,430.27,302482033,0.0148,1,6.26,19221375820233,1919753455988560,0.014763802740501486,-0.5171230627677623,70.23352662623631,421.312,407.1115,365.2771666666667,450.3471571709048,363.8758428290952
2021-01-22,430.73,433.84,427.13,427.13,269257473,-0.0073,0,-3.14,19087641760593,1906677284829355,-0.007297743277476898,-0.7747189385457958,67.26974897305129,422.65200000000004,410.1465,367.19933333333336,449.9161911101911,370.3768088898089
2021-01-25,427.64,437.96,427.17,437.3,231210711,0.023799999999999998,1,10.17,15579793120515,1946841161207015,0.02381008123990358,-0.3928123125718308,71.46918785928773,428.012,413.4455,369.2681666666667,450.6484275595351,376.24257244046487
2021-01-26,436.27,437.19,425.64,426.73,236600961,-0.0242,0,-10.57,17683990602283,1905216412733550,-0.02417104962268468,-0.9527811329866367,62.49444412641922,429.088,415.823,371.2146666666667,449.9099254113658,381.73607458863415
2021-01-27,427.11,432.62,423.23,423.67,205609157,-0.0072,0,-3.06,15862484812790,1894408305573945,-0.00717081058280411,-1.592302508966867,60.13995113048969,429.02,418.01000000000005,373.2491666666666,447.9673062874488,388.0526937125513
2021-01-28,422.92,422.92,413.34,416.4,242941275,-0.0172,0,-7.27,17045041427519,1862131125654130,-0.017159581749947028,-2.51320430346334,54.85245868225826,426.246,419.7665,375.09000000000003,444.57883425133593,394.9541657486641
2021-01-29,417.92,421.05,402.94,404.56,305296720,-0.028399999999999998,0,-11.84,19988783240743,1806590480900670,-0.02843419788664736,-3.848113321925803,47.52416070496753,421.73199999999997,420.53000000000003,376.6315000000001,442.297046653141,398.76295334685904
2021-02-01,404.71,415.53,400.59,415.45,235012200,0.0269,1,10.89,16507131552374,1856010014040640,0.02691813328060122,-3.91318978390761,53.656880795778335,417.36199999999997,421.3085,378.32516666666663,441.0887136237204,401.52828637627954
2021-02-02,416.77,427.63,416.77,421.03,219043953,0.0134,1,5.58,14870544709619,1880734477796075,0.01343121915994705,-3.508901228358525,56.46443978296983,416.22200000000004,422.0585,379.9838333333334,440.5608201518084,403.55617984819156
2021-02-03,422.69,427.51,419.75,425.21,248282011,0.009899999999999999,1,4.18,17682008997158,1902626558876370,0.00992803363180772,-2.9129644807370827,58.49301708007549,416.53000000000003,423.215,381.70233333333334,439.3129557708429,407.11704422915705
2021-02-04,425.92,426.23,415.58,418.31,263572408,-0.016200000000000003,0,-6.9,15763960679697,1874714427508660,-0.016227275934244223,-2.9286068280322723,54.0184879546962,416.912,423.59,383.2436666666667,438.84177628999373,408.3382237100062
2021-02-05,419.84,424.2,417.85,423.3,221559610,0.011899999999999999,1,4.99,14279825740198,1895801374501160,0.01192895221247392,-2.5612881959228506,56.60390218055469,420.65999999999997,423.244,384.8631666666667,438.18934228447165,408.2986577155284
2021-02-08,422.3,424.62,418.37,418.95,229540785,-0.0103,0,-4.35,14799180082229,1874954583867940,-0.010276399716513174,-2.563411776933364,53.765810147326505,421.36,422.63500000000005,386.32700000000006,437.23395955196867,408.03604044803143
2021-02-09,420.71,424.94,417.87,417.91,201526571,-0.0025,0,-1.04,13028304381459,1870819516248100,-0.002482396467358816,-2.5799042570157216,53.080567435084426,420.736,422.137,387.7968333333334,436.66702697864037,407.60697302135964
2021-02-10,418.4,421.48,414.77,419.65,184756562,0.0042,1,1.74,13044073819272,1880248203894995,0.004163575889545523,-2.421245092530281,54.133817319266136,419.62399999999997,421.6005,389.2405,435.6581662003341,407.5428337996659
2021-02-15,420.85,428.64,420.6,427.01,191241854,0.0175,1,7.36,12793708161329,1909248674492245,0.017538424877874492,-1.796947668066375,58.38883877119077,421.36400000000003,421.4585,390.6801666666667,435.23453030629713,407.6824696937029
2021-02-16,427.8,432.25,426.73,429.24,176073456,0.0052,1,2.23,11414531836243,1918881359137970,0.005222360132081327,-1.2368129139171362,59.611424782806495,422.55199999999996,421.899,392.17,436.072977423434,407.725022576566
2021-02-17,429.2,429.24,421.77,424.2,230412028,-0.011699999999999999,0,-5.04,11314338833916,1898443992544650,-0.011741682974559686,-1.2073927370169963,55.63298912715718,423.60200000000003,422.584,393.57399999999996,435.7785525123066,409.3894474876934
2021-02-18,423.92,425.38,417.44,417.44,181374243,-0.0159,0,-6.76,11247156002441,1868915711805630,-0.01593587930221596,-1.6191709192625527,50.741439510881584,423.508,422.3885,394.86199999999997,435.7650066814926,409.01199331850745
2021-02-19,417.98,421.36,411.58,420.94,246865672,0.0084,1,3.5,12696494558587,1883818184680470,0.008384438482177181,-1.6274379440247193,53.04349538808877,423.76599999999996,422.235,396.2006666666667,435.6040111825825,408.86598881741753
2021-02-22,421.96,425.9,416.8,416.88,272967210,-0.0096,0,-4.06,13439639081202,1866296351363660,-0.009645080058915734,-1.8611108996781125,50.11754723782469,421.73999999999995,421.5655,397.341,434.5947171292068,408.5362828707932
2021-02-23,415.07,419.58,410.84,415.82,228354649,-0.0025,0,-1.06,12888970693523,1861183816874535,-0.0025426981385530123,-2.028119563856526,49.35211842640806,419.0559999999999,421.0,398.43333333333334,433.99579778236085,408.00420221763915
2021-02-24,415.78,420.05,406.86,407.16,252631827,-0.0208,0,-8.66,16032722062527,1816634460234495,-0.020826319080371247,-2.6249812217772996,43.50608005240232,415.648,419.49300000000005,399.41433333333333,431.53366792167344,407.45233207832666
