Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2010-05-06,219.56,220.76,218.72,220.21,130888822,-0.0202,2,-4.55,5201545436200,771080203314395,-0.020243815625556105,-0.996613006028332,39.7540921228635,224.82599999999996,226.61600000000004,219.84383333333332,231.18950806274555,222.04249193725454,215.09
2010-05-07,213.33,216.59,212.41,215.09,153082293,-0.0233,2,-5.12,6277314740797,753427115251485,-0.023250533581581245,-1.5003552500143134,32.6343886210111,222.62199999999999,225.95699999999997,219.99516666666665,232.68027628466936,219.23372371533057,219.1
2010-05-10,216.86,219.53,215.88,219.1,108117427,0.018600000000000002,1,4.01,4421494296832,767895104419500,0.018643358594076842,-1.4919143397162353,41.47496967994061,220.852,225.57150000000001,220.21450000000002,232.91085766944207,218.23214233055796,217.63
2010-05-11,220.94,221.0,216.63,217.63,125763021,-0.0067,2,-1.47,5247999949266,763179867735495,-0.006709265175718793,-1.509209860572608,39.432057763159676,219.358,225.2235,220.34616666666668,233.33537838912775,217.11162161087225,216.78
2010-05-12,218.86,219.26,215.98,216.78,111637814,-0.0039000000000000003,2,-0.85,5015938880719,760101467436895,-0.003905711528741418,-1.4987230719753122,38.25856998184184,217.762,224.82799999999997,220.48016666666666,233.73746148765443,215.91853851234552,220.8
2010-05-13,219.55,221.68,219.34,220.8,113397318,0.018500000000000003,1,4.02,4529260364052,774133050017600,0.01854414613894284,-1.1571646889985625,46.385121087382,217.88000000000002,224.464,220.66466666666665,233.40706300995348,215.52093699004652,221.08
2010-05-14,219.58,221.69,218.45,221.08,131874758,0.0013,1,0.28,5359734051250,774189155063005,0.0012681159420289134,-0.8620427497029364,46.90928225724436,219.07800000000003,224.05949999999999,220.79199999999997,232.84499366854234,215.27400633145763,215.36
2010-05-17,217.34,217.9,214.27,215.36,137856068,-0.0259,2,-5.72,5778188214713,754091687599600,-0.02587298715397146,-0.992438266513113,38.60588668722597,218.33,223.44299999999998,220.83883333333333,232.83260936354637,214.0533906364536,214.42
2010-05-18,216.68,216.8,212.57,214.42,128232559,-0.0044,2,-0.94,5502122016656,750612632837860,-0.004364784546805445,-1.0753939321004005,37.43323034992991,217.68800000000002,222.98149999999995,220.93416666666664,233.15927829391057,212.80372170608933,212.43
2010-05-19,211.26,212.54,208.83,212.43,124031037,-0.009300000000000001,2,-1.99,5169510960973,743815007842625,-0.009280850666915308,-1.1888240516434423,35.00882797289022,216.81800000000004,222.34650000000002,220.92000000000002,233.45135889149424,211.2416411085058,208.78
2010-05-20,211.55,213.85,207.71,208.78,114720742,-0.0172,2,-3.65,5099448505536,731372598552075,-0.01718213058419249,-1.418636525686104,31.038125465052758,214.414,221.331,220.84216666666666,233.45155922802238,209.2104407719776,210.27
2010-05-24,207.5,211.36,207.46,210.27,90578766,0.0070999999999999995,1,1.49,3808235235774,736273473805475,0.0071366989175207785,-1.3780919035663093,34.31337801997353,212.252,220.4565,220.83133333333333,233.1076537418529,207.8053462581471,204.83
2010-05-25,207.58,207.79,201.5,204.83,136733251,-0.0259,2,-5.44,5405424335968,716584651211195,-0.025871498549484007,-1.6093335673963978,28.91402626250904,210.14600000000002,219.33,220.78583333333333,233.26849059260002,205.3915094074,206.62
2010-05-26,206.95,207.51,203.21,206.62,121650427,0.0087,1,1.79,5005491099243,724171356414560,0.0087389542547478,-1.5337338336213233,32.66838684322066,208.586,218.179,220.75683333333333,232.32226397971837,204.03573602028163,209.83
2010-05-27,204.54,210.49,204.52,209.83,124156460,0.0155,1,3.21,4909792719332,734865346109835,0.015535766140741591,-1.1756581470297847,38.90038378639037,208.06599999999997,217.2065,220.73000000000002,230.82793938796482,203.5850606120352,212.1
2010-05-28,212.93,212.93,209.93,212.1,109309158,0.0108,1,2.27,4844335532874,742896316829965,0.010818281465948543,-0.7166119661249852,42.92357334879293,208.73000000000002,216.4625,220.72566666666668,229.47943032170028,203.44556967829973,214.34
2010-05-31,212.43,214.34,211.81,214.34,84114719,0.0106,1,2.24,3474306821648,750692863447035,0.010561056105610644,-0.21862462113706327,46.65626631258984,209.544,215.87400000000002,220.7661666666667,228.13537414811245,203.6126258518876,213.02
2010-06-01,213.3,214.46,211.89,213.02,92202003,-0.0062,2,-1.32,3872991881942,746181417316105,-0.006158439861901566,0.05097237811700461,44.797068155582515,211.18200000000002,215.1275,220.74899999999997,226.10818098981116,204.14681901018884,217.58
2010-06-03,214.84,217.95,214.51,217.58,108445438,0.021400000000000002,1,4.56,4182424854528,761908828848330,0.021406440709792474,0.538417700019985,51.92424317244298,213.37399999999997,214.7515,220.7465,224.81741530860458,204.6855846913954,218.03
2010-06-04,217.37,218.79,217.03,218.03,104687569,0.0021,1,0.45,4254979498396,763444029253830,0.002068204798234996,0.8733356797570488,52.574964881020335,215.01400000000004,214.41500000000002,220.75,223.52463336254542,205.30536663745463,214.38
2010-06-07,213.55,214.57,211.95,214.38,99345622,-0.0167,2,-3.65,4016547819643,750731602722595,-0.016740815484107663,0.8314525921223099,47.016160857418676,215.47000000000003,214.1235,220.69266666666667,222.83724609453367,205.40975390546635,216.08
2010-06-08,213.84,216.8,213.21,216.08,96523181,0.0079,1,1.7,4129148395407,756808171015750,0.007929844201884695,0.8951229287525218,49.684522626591836,215.81800000000004,214.173,220.68133333333336,222.9193320312003,205.4266679687997,215.26
2010-06-09,216.15,216.56,213.81,215.26,102850357,-0.0038,2,-0.82,4525391116414,754333773374045,-0.0037948907811922172,0.8587537235061014,48.417872692906386,216.266,213.981,220.64649999999997,222.45048144811713,205.51151855188286,215.73
2010-06-10,215.82,217.23,214.64,215.73,110672329,0.0022,1,0.47,4367814897085,755946339211385,0.0021834061135370675,0.8419557182165276,49.217011873257405,215.89600000000002,213.88600000000002,220.65050000000002,222.23134457047766,205.5406554295224,219.22
2010-06-11,218.85,219.87,217.3,219.22,100488293,0.016200000000000003,1,3.49,4376721693213,781612977810865,0.016177629444212638,1.0291154984348645,54.81497409047327,216.13400000000001,214.00799999999998,220.71666666666667,222.58707360966207,205.4289263903379,221.43
2010-06-14,220.22,222.54,219.99,221.43,94218397,0.0101,1,2.21,3815859103169,789474449964115,0.010081196971079232,1.2502686702684533,57.974190177874554,217.544,214.0395,220.73583333333332,222.72209748001717,205.35690251998284,221.34
2010-06-15,220.94,222.32,220.4,221.34,98889474,-0.0004,2,-0.09,3761718974439,789429351293235,-0.0004064489906516755,1.3315047847157864,57.7969652732141,218.596,214.0525,220.77450000000002,222.77789712563276,205.32710287436726,223.34
2010-06-16,223.81,224.18,221.96,223.34,116463858,0.009000000000000001,1,2.0,4467467729212,796947223885915,0.009035872413481583,1.4511292155203903,60.67398087006804,220.212,214.45149999999998,220.82216666666667,224.0642712445475,204.83872875545245,223.45
2010-06-17,223.54,224.08,222.49,223.45,117140201,0.0005,1,0.11,4523942964281,798024148428930,0.0004925226112653114,1.4646209873489011,60.83213328440295,221.756,214.90299999999996,220.90433333333334,225.28492486969537,204.52107513030455,223.77
2010-06-18,223.75,224.04,222.41,223.77,92449469,0.0014000000000000002,1,0.32,3715805056330,799544801306675,0.0014320877153726208,1.4209471455983076,61.31947121974572,222.666,215.47000000000003,220.96566666666666,226.47000000000003,204.47000000000003,227.69
2010-06-21,226.07,227.99,225.51,227.69,112671801,0.0175,1,3.92,4907555175204,813024780327615,0.017517987219019426,1.570237423461176,66.77337317829053,223.91799999999998,216.4155,221.09233333333336,228.1772421753752,204.65375782462482,226.45
2010-06-22,226.12,226.9,225.36,226.45,100595867,-0.0054,2,-1.24,4251290550935,808590392580855,-0.005446001141903523,1.4997697960919112,63.71307467740546,224.94,217.22449999999998,221.182,229.40257287710162,205.04642712289834,225.59
2010-06-23,225.08,226.41,224.92,225.59,87380431,-0.0038,2,-0.86,3875201184750,805835503792430,-0.003797747847206878,1.3160886341233775,61.604286984228665,225.39000000000001,218.2625,221.23766666666668,229.54377984760586,206.98122015239412,227.45
2010-06-24,225.33,227.45,224.89,227.45,76828708,0.008199999999999999,1,1.86,3508322433201,812367799582330,0.008245046322975291,1.241660705377253,64.35239516979178,226.19,219.304,221.33516666666668,229.9200659380016,208.6879340619984,225.63
2010-06-25,224.87,226.15,224.44,225.63,85049480,-0.008,2,-1.82,3622236547504,805646536940440,-0.008001758628269906,1.001933222880595,59.839239812237,226.56199999999998,220.094,221.38766666666666,230.10683056882505,210.08116943117494,225.55
2010-06-28,226.17,226.35,225.01,225.55,79218240,-0.0004,2,-0.08,3080698947845,805960008416670,-0.00035456277977208295,0.7799252197985309,59.64123966553645,226.13400000000001,220.7665,221.45383333333336,230.33836141771795,211.19463858228207,222.54
2010-06-29,225.94,226.72,221.94,222.54,93043986,-0.013300000000000001,2,-3.01,3844434374460,795110618345610,-0.013345156284637616,0.39189810717822615,52.590310220143,225.352,221.17649999999998,221.405,230.304326192473,212.04867380752694,220.85
2010-06-30,218.7,221.09,218.24,220.85,96490195,-0.0076,2,-1.69,4291065047488,789591072526195,-0.007594140379257652,0.003500556632153984,49.081782394863986,224.404,221.56800000000004,221.30766666666668,229.8998511748589,213.23614882514119,218.65
2010-07-01,219.26,220.23,216.26,218.65,101875149,-0.01,2,-2.2,4645890501041,782376789130045,-0.009961512338691358,-0.39732372285669193,44.883898491156934,222.644,221.62150000000003,221.16049999999998,229.86349071826686,213.3795092817332,217.01
2010-07-02,219.13,219.87,216.43,217.01,119547222,-0.0075,2,-1.64,4502264832456,776025753389960,-0.0075005716899154695,-0.7482814913670113,42.00009153270736,220.92000000000002,221.57049999999998,220.98549999999997,229.91276701802312,213.22823298197684,217.47
2010-07-05,217.43,218.29,215.96,217.47,80892848,0.0021,1,0.46,3377050553084,777328920992120,0.00211971798534627,-0.9138635318176296,43.10430661659153,219.304,221.725,220.8215,229.6319652838492,213.81803471615078,219.12
2010-07-06,215.93,219.16,214.04,219.12,95559290,0.0076,1,1.65,4083215783285,782825680623820,0.007587253414264028,-0.8765496732856863,47.00190780859748,218.61999999999998,221.87700000000004,220.66899999999998,229.45404982166525,214.29995017833483,217.45
2010-07-07,219.09,219.09,216.39,217.45,82396006,-0.0076,2,-1.67,3549894624820,776838311975335,-0.007621394669587556,-0.9238974600021428,43.73620743497019,217.94,221.98650000000004,220.513,229.23401343565482,214.73898656434525,220.78
2010-07-08,220.66,221.29,219.86,220.78,92731710,0.015300000000000001,1,3.33,3975859081566,788568032828830,0.015313865256380899,-0.7006334082886081,51.04096994110749,218.36599999999999,222.23899999999998,220.4495,228.92733282664642,215.55066717335353,224.44
2010-07-09,222.07,224.44,220.63,224.44,115513363,0.0166,1,3.66,4209586750872,801250373022960,0.016577588549687494,-0.2968022550659485,57.562485993577944,219.852,222.5,220.4453333333333,229.1035838754419,215.8964161245581,225.86
2010-07-12,225.51,225.87,224.58,225.86,91482058,0.0063,1,1.42,3581238147811,806380287584065,0.006326857957583476,0.05676026828996883,59.7998438079969,221.53000000000003,222.72150000000002,220.40833333333333,229.46242063445317,215.98057936554687,226.14
2010-07-13,226.32,228.19,225.74,226.14,116320670,0.0012,1,0.28,4543037529826,807550734731090,0.001239706012573949,0.28739955171688947,60.24491812367019,222.93400000000003,222.96149999999997,220.35783333333333,229.8291874564875,216.09381254351246,229.27
2010-07-14,228.79,230.23,228.69,229.27,168943798,0.0138,1,3.13,6437932177855,818967604031960,0.013840983461572476,0.6101277375916778,64.92043834618337,225.298,223.25799999999998,220.3841666666667,230.6569366803613,215.85906331963866,228.39
2010-07-15,228.75,229.44,228.02,228.39,118087744,-0.0038,2,-0.88,4443849737590,815864874615970,-0.003838269289484164,0.7163580822366804,62.688172498594405,226.82,223.50500000000002,220.4631666666667,231.23548122693512,215.77451877306493,226.34
2010-07-16,228.28,228.83,226.06,226.34,130720879,-0.009000000000000001,2,-2.05,4980848679854,808850521375170,-0.008975874600464007,0.6050236124150494,57.70998441806248,227.2,223.63349999999997,220.48333333333332,231.46214554057696,215.80485445942298,225.32
2010-07-19,223.64,226.23,223.51,225.32,100160600,-0.0045000000000000005,2,-1.02,3762360230687,805195965791450,-0.004506494654060278,0.4275132912319435,55.354555237887055,227.092,223.51500000000001,220.4205,231.16413982092078,215.86586017907925,225.84
2010-07-20,224.47,226.47,224.08,225.84,96175135,0.0023,1,0.52,4045115810420,807282003499490,0.002307828865613315,0.3151354258244714,56.33305287106251,227.032,223.48450000000003,220.3885,231.09133238937181,215.87766761062824,227.88
2010-07-21,228.16,228.65,226.67,227.88,117495740,0.009000000000000001,1,2.04,4864351409333,814156215282335,0.009032943676939409,0.3457569468941919,60.03378112103206,226.754,223.599,220.39716666666666,231.3957246969478,215.80227530305217,226.23
2010-07-22,227.33,228.46,225.9,226.23,138109149,-0.0072,2,-1.65,6015976474929,808740588322065,-0.007240652975250117,0.22812725280657054,55.906755948948835,226.32199999999997,223.538,220.34033333333335,231.23166128705938,215.84433871294064,229.5
2010-07-23,229.05,229.88,227.66,229.5,134522236,0.014499999999999999,1,3.27,5968523740549,820398904134905,0.014454316403660128,0.33720586992788903,61.548384664593875,226.954,223.7315,220.34400000000002,231.8108843206024,215.6521156793976,230.87
2010-07-26,229.7,231.64,229.48,230.87,105738008,0.006,1,1.37,4300311423809,825449065851445,0.0059694989106753304,0.4606406614509553,63.646987944864314,228.064,223.9975,220.40883333333332,232.63020959780275,215.36479040219726,230.93
2010-07-27,231.66,232.14,230.46,230.93,123421331,0.0003,1,0.06,4847581352970,825576108898555,0.0002598865162213304,0.5019519363791254,63.74032520100131,229.08200000000002,224.417,220.48916666666668,233.52780698950406,215.30619301049595,231.56
2010-07-28,231.7,232.06,230.39,231.56,101964514,0.0027,1,0.63,4332574246338,828072731965280,0.0027280994240679313,0.524856195185768,64.76334327636414,229.81799999999998,224.95249999999996,220.54933333333332,234.41397742162897,215.49102257837094,231.16
2010-07-29,231.01,231.86,230.63,231.16,101507213,-0.0017000000000000001,2,-0.4,4413923376060,826858149428120,-0.0017274140611505118,0.46809416662792236,63.537614359014086,230.804,225.57799999999997,220.65033333333332,234.9437281617606,216.21227183823936,229.25
2010-07-30,230.7,231.69,228.71,229.25,86652420,-0.0083,2,-1.91,3987584655115,819985498327215,-0.008262675203322356,0.26694285821817054,57.90228937349571,230.754,226.18999999999997,220.72516666666664,234.80587372237983,217.5741262776201,232.22
2010-08-02,230.82,232.63,230.26,232.22,103628427,0.013000000000000001,1,2.97,4478422990031,830843549305025,0.012955288985823321,0.29665761311542704,63.346241983794926,231.02400000000003,226.9275,220.92533333333333,234.93513104794394,218.91986895205608,233.38
2010-08-03,234.1,234.2,232.64,233.38,105885324,0.005,1,1.16,4480352245197,835278569807030,0.0049952631125655955,0.35333093310359676,65.23709653485068,231.51399999999998,227.64050000000003,221.23016666666666,235.27097960484767,220.0100203951524,233.14
2010-08-04,234.08,234.08,231.23,233.14,120556480,-0.001,2,-0.24,4630944644260,834980810100210,-0.001028365755420424,0.3337804083218123,64.49577128708245,231.83,228.425,221.46416666666667,234.83141085163882,222.0185891483612,232.39
2010-08-05,234.13,234.29,231.03,232.39,111118592,-0.0032,2,-0.75,5248883082525,832325075468090,-0.0032169511881272594,0.2341713635399154,62.120128082144575,232.07599999999996,229.00549999999998,221.71016666666668,234.58664853771117,223.4243514622888,232.35
2010-08-06,232.14,232.68,230.4,232.35,109756502,-0.0002,2,-0.04,4743174263677,831977274495675,-0.00017212444597436427,0.1343816775418083,61.988984239250485,232.696,229.401,221.96966666666668,234.7481409182848,224.05385908171522,233.14
2010-08-09,231.59,233.23,231.21,233.14,91589577,0.0034000000000000002,1,0.79,3268192917443,834836245160695,0.0034000430385194846,0.09237228730656666,63.62241673003555,232.88000000000002,229.76499999999996,222.17533333333333,235.08949246407536,224.44050753592455,232.04
2010-08-10,233.42,233.84,231.8,232.04,95270736,-0.004699999999999999,2,-1.1,3925047539217,831063871546570,-0.004718195075919973,-0.03204525102465272,59.770900012872666,232.612,230.06000000000003,222.35800000000003,235.1989804436285,224.92101955637156,228.98
2010-08-11,231.15,231.3,228.5,228.98,109907497,-0.0132,2,-3.06,4352400701490,820158706277830,-0.013187381485950667,-0.3266020305951862,50.595107707766395,231.78000000000003,230.0455,222.585,235.1949406492352,224.8960593507648,223.96
2010-08-12,225.42,226.8,223.96,223.96,108631728,-0.0219,2,-5.02,4452314297472,802316328775445,-0.021923312079657586,-0.8366958663026738,39.80045273491473,230.094,229.82399999999998,222.744,235.5841229153548,224.06387708464516,227.01
2010-08-13,225.12,227.28,224.23,227.01,93229961,0.013600000000000001,1,3.05,3638335243020,813561650541145,0.013618503304161367,-0.9382286452582527,47.17477930880013,229.02599999999998,229.85750000000002,222.987,235.54349991206436,224.17150008793567,226.51
