Date,Open,High,Low,Close,Volume,Change,MACD,RSI,MA5,MA20,MA60
2020-01-02,71800,72100,71000,71000,284758,-0.015256588072122046,,,,,
2020-01-03,71400,71900,70800,71100,369493,0.0014084507042253502,,,,,
2020-01-06,70300,70500,69600,69900,337026,-0.016877637130801704,,,,,
2020-01-07,69800,70600,69800,70300,265311,0.005722460658083017,,,,,
2020-01-08,70300,70300,67000,67500,937438,-0.03982930298719778,,,69960.0,,
2020-01-09,68100,68300,66100,66600,1565867,-0.013333333333333308,,,69080.0,,
2020-01-10,67000,67500,66400,66800,797710,0.0030030030030030463,,,68220.0,,
2020-01-13,66900,67000,66200,66600,600906,-0.0029940119760478723,,,67560.0,,
2020-01-14,67200,69400,67100,68300,1081428,0.02552552552552556,,,67160.0,,
2020-01-15,68800,70000,68600,69600,698052,0.019033674963396807,,,67580.0,,
2020-01-16,69800,70000,68900,69900,440562,0.004310344827586299,,,68240.0,,
2020-01-17,69800,70200,68900,69200,464204,-0.010014306151645225,,,68720.0,,
2020-01-20,69600,71700,69400,71200,894609,0.028901734104046284,,,69640.0,,
2020-01-21,71400,71600,70100,70100,379059,-0.015449438202247201,,51.636340770998814,70000.0,,
2020-01-22,69800,70500,68600,70400,546215,0.004279600570613384,,53.33311270878742,70160.0,,
2020-01-23,69600,69700,68600,69000,604024,-0.019886363636363646,,45.33903982721106,69980.0,,
2020-01-28,66600,67500,66600,67100,729302,-0.02753623188405796,,37.19152118841191,69560.0,,
2020-01-29,67100,68000,66900,67200,585990,0.0014903129657228842,,37.82480918047003,68760.0,,
2020-01-30,67000,67800,66900,67200,549972,0.0,,37.82480918047003,68180.0,,
2020-01-31,67200,67600,65800,65900,697360,-0.019345238095238138,,32.833515912073764,67280.0,68745.0,
2020-02-03,65400,65600,64100,64900,797729,-0.015174506828528056,,29.598023511140326,66460.0,68440.0,
2020-02-04,64400,65400,64400,65100,716163,0.0030816640986133237,,31.061215432620912,66060.0,68140.0,
2020-02-05,65600,65700,64800,65200,657342,0.001536098310291889,,31.8241750160378,65660.0,67905.0,
2020-02-06,65600,67000,65500,66800,635295,0.024539877300613577,,42.74289993084278,65580.0,67730.0,
2020-02-07,66700,67400,66500,67300,519466,0.007485029940119681,,45.67114090039799,65860.0,67720.0,
2020-02-10,67000,67000,66100,67000,364246,-0.004457652303120341,,44.210189482159905,66280.0,67740.0,
2020-02-11,67500,67600,66800,67200,462160,0.0029850746268655914,,45.46269884343888,66700.0,67760.0,
2020-02-12,67000,68300,67000,67900,487071,0.01041666666666674,,49.717648278488674,67240.0,67825.0,
2020-02-13,68200,68400,67000,67100,699540,-0.01178203240058906,,45.361846427450686,67300.0,67765.0,
2020-02-14,67200,67600,66700,67000,354348,-0.0014903129657227732,,44.83309571966636,67240.0,67635.0,
2020-02-17,66900,67300,66000,67000,560384,0.0,,44.83309571966635,67240.0,67490.0,
2020-02-18,67900,70000,67700,68900,1338368,0.028358208955223896,,56.10708524661836,67580.0,67475.0,
2020-02-19,69300,69400,68000,68800,636116,-0.0014513788098693414,,55.464625122196416,67760.0,67355.0,
2020-02-20,68700,69000,66700,67200,677402,-0.023255813953488413,262.99618419588364,46.324645274380714,67780.0,67210.0,
2020-02-21,66000,67000,65800,66100,531902,-0.016369047619047672,135.58747941357785,41.287286506191954,67600.0,66995.0,
2020-02-24,64800,65000,63100,63300,874557,-0.04236006051437213,-125.34387682127715,31.806292724023706,66860.0,66710.0,
2020-02-25,62200,63500,62100,63000,956415,-0.004739336492891044,-296.4563477666327,30.985296639757536,65680.0,66505.0,
2020-02-26,62100,63700,61500,63300,607215,0.004761904761904745,-363.33580074247016,32.851876593819924,64580.0,66310.0,
2020-02-27,63000,63600,62000,62400,524379,-0.014218009478673022,-437.1311667421205,30.211962207759086,63620.0,66070.0,
2020-02-28,61400,61700,60000,60400,932828,-0.03205128205128205,-580.5959378627092,25.339016395106228,62480.0,65795.0,
2020-03-02,60300,61200,59600,60100,711979,-0.004966887417218513,-650.3941579510929,24.695576823874504,61840.0,65555.0,
2020-03-03,61500,61700,60000,60200,587763,0.0016638935108153063,-643.3512276033862,25.37581506497942,61280.0,65310.0,
2020-03-04,60100,61200,60100,60600,520867,0.006644518272425293,-567.9033281399336,28.170842060116186,60740.0,65080.0,
2020-03-05,61300,61900,60800,61500,573595,0.014851485148514865,-420.33242435212173,34.147341963567015,60560.0,64815.0,
2020-03-06,60900,61100,60200,60300,542438,-0.019512195121951237,-368.3512007319903,30.50305251174855,60540.0,64465.0,
2020-03-09,59000,59300,57500,57800,1001568,-0.041459369817578806,-461.1320944648953,24.610320664323936,60080.0,64005.0,
2020-03-10,58800,61400,58400,60000,1500440,0.03806228373702414,-338.7893178200502,36.27676576891651,60040.0,63645.0,
2020-03-11,60000,61000,58100,59000,938290,-0.01666666666666672,-291.4689575652503,33.72226856788764,59720.0,63200.0,
2020-03-12,58900,58900,55000,55500,1649095,-0.05932203389830504,-452.53164878749976,26.649123988070016,58520.0,62620.0,
2020-03-13,51100,54500,50600,52500,1968749,-0.05405405405405406,-702.8213841334837,22.32644301579367,56960.0,61895.0,
2020-03-16,53100,54200,50400,50400,948845,-0.040000000000000036,-936.8785310736303,19.89383825194045,55480.0,61065.0,
2020-03-17,48000,52000,48000,49450,1004008,-0.018849206349206393,-1072.9660946011154,18.891076598517216,53370.0,60092.5,
2020-03-18,50200,50800,47700,48000,886739,-0.029322548028311468,-1169.9776114181395,17.44565206383703,51170.0,59052.5,
2020-03-19,48900,49600,43650,43650,1601945,-0.09062499999999996,-1419.8161246030613,13.9878787999982,48800.0,57875.0,
2020-03-20,44600,45700,43550,45100,1539670,0.03321878579610549,-1378.968192371036,19.701115853635983,47320.0,56825.0,
2020-03-23,42350,42850,41600,41850,1186795,-0.07206208425720617,-1454.8650162855783,16.97884803382209,45610.0,55752.5,
2020-03-24,42700,44450,42200,44400,1316623,0.06093189964157708,-1226.4981729043539,25.65868854923157,44600.0,54822.5,
2020-03-25,48400,48850,46800,48500,1506779,0.0923423423423424,-717.6833083687898,37.05385087714984,44700.0,54082.5,
2020-03-26,49450,51300,48600,49000,1377158,0.010309278350515427,-287.8698176417738,38.29600199165756,45770.0,53412.5,
2020-03-27,51300,51500,48000,49400,1110394,0.008163265306122547,64.16995623867297,39.32750801989614,46630.0,52862.5,62467.5
2020-03-30,48400,49200,47100,48500,937027,-0.018218623481781382,265.89894518853,37.79650072036844,47960.0,52282.5,62092.5
2020-03-31,49100,49500,47600,48200,1106424,-0.006185567010309256,400.52564001429255,37.27558350273325,48720.0,51682.5,61710.833333333336
2020-04-01,48250,50800,47850,48100,1298461,-0.0020746887966804906,497.88721687963334,37.092072693937666,48640.0,51057.5,61347.5
2020-04-02,49100,50000,48500,49300,1071663,0.02494802494802495,648.6160622944917,40.8549620050473,48700.0,50447.5,60997.5
2020-04-03,50100,51200,49200,49850,963015,0.011156186612576002,781.9332139071516,42.551110350706296,48790.0,49925.0,60703.333333333336
2020-04-06,50400,51100,49900,51100,868309,0.02507522567703102,940.2385284905176,46.318999573016,49310.0,49590.0,60445.0
2020-04-07,52500,55600,50900,54500,2123508,0.066536203522505,1240.9722967560056,54.97009503637734,50570.0,49315.0,60240.0
2020-04-08,54800,54800,53300,53300,1593974,-0.022018348623853212,1318.8228189718657,51.79728196012791,51610.0,49030.0,60018.333333333336
2020-04-09,54200,54300,53300,54200,926771,0.016885553470919357,1383.9046175556205,53.944354980724036,52590.0,48965.0,59783.333333333336
2020-04-10,54100,54100,53300,53800,687486,-0.0073800738007380184,1351.4543705922315,52.81829422357521,53380.0,49030.0,59520.0
2020-04-13,53800,54100,52800,53200,626957,-0.01115241635687736,1243.7302519116947,51.09534262522222,53800.0,49170.0,59241.666666666664
2020-04-14,53600,53900,53000,53600,922591,0.007518796992481258,1155.455956035761,52.214467528140325,53620.0,49377.5,58981.666666666664
2020-04-16,53100,53600,52500,53500,788724,-0.001865671641791078,1049.4575669869037,51.89474267681022,53660.0,49652.5,58686.666666666664
2020-04-17,54300,55900,53900,54500,1414373,0.01869158878504673,1005.7141745388121,54.870713643045804,53720.0,50195.0,58426.666666666664
2020-04-20,54700,54800,53500,53800,809110,-0.012844036697247652,892.5018542661664,52.42579777556111,53720.0,50630.0,58150.0
2020-04-21,53400,53500,51700,52600,1029388,-0.022304832713754608,707.7395086037774,48.4410168404789,53600.0,51167.5,57876.666666666664
2020-04-22,52000,52400,51300,52400,727548,-0.0038022813688213253,550.0211229629274,47.789056330644264,53360.0,51567.5,57631.666666666664
2020-04-23,52700,53500,52500,53300,702412,0.01717557251908386,486.46704672995236,50.98593365510815,53320.0,51807.5,57400.0
2020-04-24,52800,53200,52300,52600,529035,-0.013133208255159512,382.04792615234146,48.498601099160425,52940.0,51987.5,57156.666666666664
2020-04-27,52800,53800,52700,53400,561740,0.015209125475285079,352.34494153452545,51.4157310757342,52860.0,52187.5,56948.333333333336
2020-04-28,53800,54500,53100,53600,712240,0.0037453183520599342,331.93599929531456,52.14549811904386,53060.0,52442.5,56760.0
2020-04-29,53900,55100,53600,54900,1017067,0.02425373134328357,387.8651341531517,56.69842150849561,53560.0,52777.5,56590.0
2020-05-04,54000,55800,53400,55200,1119161,0.005464480874316946,424.00791223788434,57.69861655509796,53940.0,53132.5,56423.333333333336
2020-05-06,56300,56400,55200,55500,805783,0.005434782608695565,444.88792127238963,58.72533003481025,54520.0,53442.5,56235.0
2020-05-07,55100,55100,54100,54700,754248,-0.014414414414414378,383.8935380154217,54.8987519492335,54780.0,53685.0,56025.0
2020-05-08,55000,55500,54900,55200,632501,0.009140767824497242,356.8672901356535,56.79369825654982,55100.0,53890.0,55828.333333333336
2020-05-11,55400,55700,54300,54500,536547,-0.0126811594202898,275.15380268852925,53.410351547167544,55020.0,53890.0,55616.666666666664
2020-05-12,54600,55400,54000,54500,707739,0.0,207.4922024837441,53.41035154716754,54880.0,53950.0,55393.333333333336
2020-05-13,53800,55000,53600,55000,577061,0.00917431192660545,183.62090106840543,55.601423943676004,54780.0,53990.0,55191.666666666664
2020-05-14,54500,54900,53900,54200,593689,-0.014545454545454528,105.06641150168309,51.433515505127616,54680.0,54010.0,54978.333333333336
2020-05-15,54200,54500,53400,54400,504474,0.0036900369003689537,59.93371135240784,52.394278136070014,54520.0,54070.0,54768.333333333336
2020-05-18,54800,56400,54400,56400,1005066,0.03676470588235303,152.85026586267549,60.75507420200722,54900.0,54210.0,54560.0
2020-05-19,57800,58600,57200,58200,1138915,0.03191489361702127,314.31066997244534,66.46369144569576,55640.0,54445.0,54383.333333333336
2020-05-20,57700,58000,57100,58000,552137,-0.0034364261168384758,381.91730468133494,65.32664053191202,56240.0,54620.0,54230.0
2020-05-21,58000,58300,57000,57200,709139,-0.01379310344827589,347.99309839140994,60.842808065061114,56840.0,54790.0,54081.666666666664
2020-05-22,57200,57300,55900,56300,518452,-0.01573426573426573,245.03477784873155,56.171760459922545,57220.0,54975.0,53965.0
2020-05-25,56600,56600,55400,56100,478311,-0.003552397868561319,148.31833804708242,55.15834290360449,57160.0,55160.0,53850.0
2020-05-26,56300,57800,56200,57100,674912,0.017825311942959,136.82737284639336,59.12881631333409,56940.0,55350.0,53746.666666666664
2020-05-27,57500,60000,57400,59500,1707086,0.042031523642731994,268.38933150219646,66.74037944572869,57240.0,55695.0,53698.333333333336
2020-05-28,59700,59800,57400,58500,1094166,-0.01680672268907568,265.125625610867,61.593270673922696,57500.0,55950.0,53666.666666666664
2020-05-29,57900,59300,57500,59300,900113,0.013675213675213627,291.79441398605036,63.986140177847346,58100.0,56235.0,53653.333333333336
2020-06-01,59000,59500,58500,59200,550906,-0.001686340640809414,277.7253319946831,63.45395219511406,58720.0,56450.0,53636.666666666664
2020-06-02,59200,61000,59200,60000,846026,0.013513513513513598,295.6629718335171,65.89760079976602,59300.0,56690.0,53626.666666666664
2020-06-03,60500,62400,60500,62100,1433963,0.03499999999999992,415.01057136507575,71.31894992140975,59820.0,57020.0,53636.666666666664
2020-06-04,62800,63100,61200,62200,934862,0.0016103059581320522,463.08234993915994,71.55087978409642,60560.0,57395.0,53668.333333333336
2020-06-05,62200,63000,61700,63000,860924,0.012861736334405238,507.5767290364347,73.40379666528185,61300.0,57785.0,53755.0
2020-06-08,64500,64500,63000,64000,975466,0.015873015873015817,559.1030572974848,75.54768325065908,62260.0,58260.0,53821.666666666664
2020-06-09,64800,67100,64500,66600,1897513,0.04062499999999991,713.169732937979,80.05039795338075,63580.0,58865.0,53948.333333333336
2020-06-10,67400,70400,66600,70100,2744224,0.052552552552552534,979.2407214142122,84.25386592250766,65180.0,59620.0,54191.666666666664
2020-06-11,69500,70800,67500,69000,1942350,-0.015691868758915817,1005.772821168995,78.64525450261587,66540.0,60360.0,54466.666666666664
2020-06-12,65300,68900,65200,67800,1689624,-0.017391304347826098,872.1016035131101,72.94085895532575,67500.0,61030.0,54756.666666666664
2020-06-15,67000,67100,62800,62900,1545344,-0.07227138643067843,406.9122641811841,55.3017851317042,67280.0,61355.0,54980.833333333336
2020-06-16,65100,66100,64400,65200,1220699,0.0365659777424483,216.87952673996278,60.17061844917898,67000.0,61705.0,55267.5
2020-06-17,64700,68300,64600,68200,1576915,0.04601226993865026,253.4494991661927,65.45609616453038,66620.0,62215.0,55676.666666666664
2020-06-18,68000,69200,66900,67800,946224,-0.0058651026392961825,212.57488207353208,64.23216591146951,66380.0,62745.0,56055.0
2020-06-19,68500,68800,65900,68800,861053,0.014749262536873253,214.16243978055445,65.94649081427121,66580.0,63370.0,56504.166666666664
2020-06-22,67900,68500,67300,67500,632910,-0.018895348837209336,95.01249732317865,61.79967524806124,67500.0,63940.0,56889.166666666664
2020-06-23,68100,68100,65000,66600,849668,-0.013333333333333308,-68.25682146700046,59.032126386170425,67780.0,64415.0,57190.833333333336
2020-06-24,66400,68000,66200,67000,622511,0.006006006006006093,-167.50192906144457,59.89182101600999,67540.0,64790.0,57490.833333333336
2020-06-25,65600,66000,64600,64700,798688,-0.03432835820895519,-393.3412304278472,53.00427915369383,66920.0,65100.0,57745.833333333336
2020-06-26,65500,65500,64500,64700,528872,0.0,-539.0113195445165,53.00427915369383,66100.0,65370.0,58015.833333333336
2020-06-29,63800,64000,62500,63500,756841,-0.018547140649149974,-702.1493135320557,49.55590098647999,65300.0,65585.0,58270.833333333336
