Date,Open,High,Low,Close,Volume,Change,return,profit,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-13,10150,10150,9990,10000,124330,-0.00497512437810943,0.006006006006006093,1,,29.215511474409837,10060.0,10507.5,,11309.54426311769,9705.45573688231
2020-02-14,10000,10050,9970,9990,112374,-0.0010000000000000009,-0.005970149253731294,0,,29.00775959946172,10018.0,10449.5,,11224.625151185277,9674.374848814723
2020-02-17,10000,10050,9980,10050,95902,0.006006006006006093,0.0,0,,32.12642043059688,10028.0,10397.0,,11129.860150369768,9664.139849630232
2020-02-18,10000,10050,9990,9990,86343,-0.005970149253731294,-0.020020020020020013,0,,30.67521287006933,10016.0,10341.5,,11019.033025025348,9663.966974974652
2020-02-19,9970,10050,9930,9990,113254,0.0,0.005107252298263587,1,,30.67521287006933,10004.0,10288.5,,10898.525409306858,9678.474590693142
2020-02-20,10000,10050,9740,9790,167478,-0.020020020020020013,-0.026422764227642226,0,3.095606193293122,26.114819244445385,9962.0,10225.5,,10763.996982349947,9687.003017650053
2020-02-21,9790,9880,9650,9840,165677,0.005107252298263587,0.03235908141962418,1,3.9152867908161397,28.95831566846462,9932.0,10172.5,,10638.84214907083,9706.15785092917
2020-02-24,9820,9820,9500,9580,73789,-0.026422764227642226,-0.01213346814964611,0,-9.741851918803775,23.823849367790203,9838.0,10124.0,,10623.775949801508,9624.224050198492
2020-02-25,9490,9890,9310,9890,63786,0.03235908141962418,0.013306038894575156,1,4.641421298129217,37.950344222634115,9818.0,10108.5,,10617.038100834145,9599.961899165855
2020-02-26,9730,9850,9710,9770,129324,-0.01213346814964611,0.030303030303030276,1,8.393712348715212,35.227042203842686,9774.0,10079.5,,10595.735411416148,9563.264588583852
2020-02-27,9770,10100,9630,9900,115286,0.013306038894575156,-0.026470588235294135,0,21.221293422644806,40.23088549231188,9796.0,10062.0,,10577.658801922356,9546.341198077644
2020-02-28,9940,10250,9600,10200,257553,0.030303030303030276,0.007049345417925457,1,49.86528269782161,49.857592210523435,9868.0,10037.0,,10468.049881104263,9605.950118895737
2020-03-02,10150,10200,9900,9930,133503,-0.026470588235294135,0.014999999999999902,1,50.4314035269943,43.12533642503915,9938.0,10011.0,,10399.942155082217,9622.057844917783
2020-03-03,10000,10150,9990,10000,202700,0.007049345417925457,0.029556650246305383,1,54.95224571172426,45.1916443389093,9960.0,9993.5,,10349.998246840009,9637.001753159991
2020-03-04,9990,10200,9900,10150,173674,0.014999999999999902,0.0,0,66.69500643051043,49.43134777871804,10036.0,9981.0,,10294.553823130893,9667.446176869107
2020-03-05,10150,10450,10000,10450,136044,0.029556650246305383,-0.03349282296650713,0,91.76938901574275,56.653368633781106,10146.0,9991.0,,10347.981792252769,9634.018207747231
2020-03-06,10400,10650,10000,10450,537448,0.0,-0.004950495049504955,0,104.53087319595528,56.653368633781106,10196.0,10003.5,,10403.763663102209,9603.236336897791
2020-03-09,10400,10500,10000,10100,288243,-0.03349282296650713,0.0,0,86.3314637676838,47.478665522637776,10230.0,10008.5,,10410.956208797925,9606.043791202075
2020-03-10,10000,10200,9990,10050,102690,-0.004950495049504955,-0.014925373134328401,0,68.62894142943898,46.324511491253915,10240.0,10008.5,,10410.956208797925,9606.043791202075
2020-03-11,10050,10200,9980,10050,98400,0.0,-0.11212121212121207,0,55.20031771708034,46.32451149125391,10220.0,10008.5,,10410.956208797925,9606.043791202075
2020-03-12,10050,10050,9500,9900,152390,-0.014925373134328401,0.0,0,35.455979246402705,42.71202637395029,10110.0,10003.5,,10408.729564568035,9598.270435431965
2020-03-13,9400,9710,8580,8790,408661,-0.11212121212121207,-0.08646188850967007,0,-48.55766464412858,26.341744568926387,9778.0,9943.5,,10610.051573398487,9276.948426601513
2020-03-16,8990,9000,8680,8790,163830,0.0,-0.0809464508094645,0,-97.50165045222451,26.341744568926387,9516.0,9880.5,,10712.521033387979,9048.478966612021
2020-03-17,8400,8740,8000,8030,106832,-0.08646188850967007,-0.1869918699186992,0,-170.17812789175798,20.19538355345958,9112.0,9782.5,,10938.490916919332,8626.509083080668
2020-03-18,8120,8300,7310,7380,149203,-0.0809464508094645,0.09000000000000008,1,-246.51203687463794,16.62293701383311,8578.0,9652.0,,11205.700099761856,8098.299900238145
2020-03-19,7380,7500,5560,6000,281279,-0.1869918699186992,0.00917431192660545,1,-367.16184723857907,11.835911399492488,7798.0,9462.5,,11683.750773775893,7241.249226224108
2020-03-20,6010,6930,6010,6540,173142,0.09000000000000008,0.051515151515151514,1,-385.8965929738749,21.37717693512637,7348.0,9297.5,,11847.94211853553,6747.0578814644705
2020-03-23,6060,6640,5950,6600,264852,0.00917431192660545,0.1527377521613833,1,-369.52378653193205,22.382295349391995,6910.0,9148.5,,11951.2292056137,6345.770794386301
2020-03-24,6640,7040,6640,6940,106915,0.051515151515151514,0.0475000000000001,1,-313.2933707746457,27.999454545191313,6692.0,9001.0,,11939.332179995992,6062.667820004008
2020-03-25,7720,8000,7230,8000,145528,0.1527377521613833,0.038186157517899666,1,-188.36589206561587,42.0741754841889,6816.0,8912.5,,11859.463691666391,5965.53630833361
2020-03-26,8000,8380,8000,8380,142950,0.0475000000000001,0.06436781609195408,1,-69.89601747399331,46.138991577107305,7292.0,8836.5,,11755.947036683488,5917.0529633165115
2020-03-27,8500,8920,8500,8700,158873,0.038186157517899666,0.11231101511879049,1,34.6462167064127,49.36154544023534,7724.0,8761.5,9920.333333333334,11613.266294772417,5909.733705227583
2020-03-30,8660,9290,8560,9260,102520,0.06436781609195408,-0.01941747572815533,0,140.2158726168709,54.49285299599183,8256.0,8728.0,9883.833333333334,11539.530544027577,5916.469455972423
2020-03-31,9260,10300,9260,10300,161620,0.11231101511879049,-0.026732673267326756,0,271.20825905087554,62.16139374652375,8928.0,8743.0,9865.5,11584.556615659803,5901.443384340196
2020-04-01,10250,10300,9990,10100,143931,-0.01941747572815533,0.0020345879959309254,1,331.51624148930955,60.0651721705138,9348.0,8740.5,9846.333333333334,11577.184508365355,5903.815491634645
2020-04-02,10050,10050,9780,9830,93415,-0.026732673267326756,-0.02131979695431474,0,339.1363357537137,57.25798755526264,9638.0,8709.5,9825.166666666666,11483.641128349456,5935.358871650543
2020-04-03,9920,10700,9440,9850,196939,0.0020345879959309254,-0.012448132780082943,0,331.067386709414,57.41674642717906,9868.0,8679.5,9806.833333333334,11389.94996264458,5969.0500373554205
2020-04-06,9850,9890,9560,9640,101002,-0.02131979695431474,0.02310924369747891,1,298.1552046882864,55.10240425625708,9944.0,8656.5,9780.0,11325.839056770421,5987.160943229579
2020-04-07,9790,9800,9510,9520,116912,-0.012448132780082943,0.011293634496919891,1,256.4611102185432,53.768683147648304,9788.0,8630.0,9752.0,11253.608202457066,6006.391797542934
2020-04-08,9520,9770,9330,9740,75126,0.02310924369747891,0.004060913705583813,1,232.56183543932025,55.87723050067951,9716.0,8614.5,9728.5,11207.856705121761,6021.1432948782385
2020-04-09,9740,9980,9680,9850,62686,0.011293634496919891,0.005055611729019249,1,213.51884988944457,56.934845952872585,9720.0,8612.0,9707.666666666666,11200.48681665563,6023.513183344369
2020-04-10,9990,10050,9810,9890,53896,0.004060913705583813,0.005030181086519203,1,193.56406799957665,57.33533016650396,9728.0,8667.0,9686.666666666666,11314.354150845707,6019.645849154293
2020-04-13,9890,10100,9630,9940,80761,0.005055611729019249,-0.016016016016015988,0,174.28085744183255,57.86282655767696,9788.0,8724.5,9667.333333333334,11429.373194809694,6019.626805190306
2020-04-14,9940,10000,9750,9990,43741,0.005030181086519203,-0.004069175991861629,0,156.03221121849367,58.416503943935716,9882.0,8822.5,9648.833333333334,11561.433186479728,6083.566813520271
2020-04-16,9810,9950,9810,9830,29433,-0.016016016016015988,-0.018386108273748758,0,125.6312956934552,55.88587705133304,9900.0,8945.0,9628.5,11633.601867142102,6256.3981328578975
2020-04-17,9930,9980,9780,9790,91528,-0.004069175991861629,-0.005202913631633721,0,96.579019948282,55.24158411096843,9888.0,9134.5,9607.5,11478.244653327234,6790.755346672765
2020-04-20,9790,9900,9610,9610,58053,-0.018386108273748758,-0.014644351464435101,0,60.74041773394151,52.31854799519398,9832.0,9288.0,9586.0,11312.308276918317,7263.691723081683
2020-04-21,9730,9730,9390,9560,28219,-0.005202913631633721,0.0031847133757962887,1,30.684852908035282,51.50330820983942,9756.0,9436.0,9569.5,11042.217917967548,7829.782082032453
2020-04-22,9560,9560,9320,9420,34785,-0.014644351464435101,-0.031746031746031744,0,0.016019523512653677,49.19195416810701,9642.0,9560.0,9556.5,10688.042552388872,8431.957447611128
2020-04-23,9470,9530,9420,9450,16234,0.0031847133757962887,0.0371584699453551,1,-18.580521451434777,49.71274956898514,9566.0,9632.5,9541.5,10508.373849364167,8756.626150635833
2020-04-24,9450,9510,9130,9150,68506,-0.031746031746031744,0.03266596417281353,1,-49.65300230898424,44.77063728181834,9438.0,9671.0,9523.166666666666,10373.876945133357,8968.123054866643
2020-04-27,9200,9670,9200,9490,39688,0.0371584699453551,0.013265306122449028,1,-45.95981571509965,50.74679028272693,9414.0,9710.5,9503.0,10263.47287456077,9157.52712543923
2020-04-28,9630,9980,9500,9800,67157,0.03266596417281353,-0.015105740181268867,0,-22.479563427310637,55.4772280285564,9462.0,9737.5,9492.166666666666,10251.187648284444,9223.812351715556
2020-04-29,9800,10200,9800,9930,57416,0.013265306122449028,0.021472392638036908,1,0.7360206590702205,57.32809484255388,9564.0,9719.0,9485.166666666666,10173.572326478417,9264.427673521583
2020-05-04,9970,9970,9580,9780,64809,-0.015105740181268867,-0.01501501501501501,0,4.69809315562965,54.51218248762608,9630.0,9703.0,9474.833333333334,10124.098563284182,9281.901436715818
2020-05-06,9790,10050,9790,9990,50048,0.021472392638036908,0.0315040650406504,1,19.3483902726407,57.64858819420643,9798.0,9711.0,9470.5,10147.252220624723,9274.747779375277
2020-05-07,9990,10100,9780,9840,72204,-0.01501501501501501,-0.009852216748768461,0,16.91140886352258,54.74497954852696,9868.0,9710.5,9464.5,10146.136316208833,9274.863683791167
2020-05-08,9830,10200,9830,10150,54876,0.0315040650406504,0.029850746268656803,1,33.209783736706,59.30668834139775,9938.0,9736.0,9467.0,10210.147656326593,9261.852343673407
2020-05-11,10250,10650,10000,10050,156731,-0.009852216748768461,-0.024154589371980673,0,34.155795240801325,57.3001853636786,9962.0,9762.5,9467.0,10244.57364582603,9280.42635417397
2020-05-12,11150,11200,10250,10350,145647,0.029850746268656803,0.00990099009900991,1,50.87886888430893,61.507615279504165,10076.0,9793.0,9472.0,10338.530934044993,9247.469065955007
2020-05-13,10300,10450,10050,10100,78129,-0.024154589371980673,0.009803921568627416,1,41.3983699367121,56.51045644863796,10098.0,9805.5,9473.666666666666,10366.90805124259,9244.09194875741
2020-05-14,10050,10200,9400,10200,58944,0.00990099009900991,0.0,0,38.232789834255044,57.98102211693723,10170.0,9821.0,9477.166666666666,10407.443518166925,9234.556481833075
2020-05-15,10300,10300,10100,10300,64237,0.009803921568627416,-0.004854368932038833,0,39.104083201732635,59.457394498050604,10200.0,9839.0,9481.333333333334,10460.0281797149,9217.9718202851
2020-05-18,10300,10350,9990,10300,81981,0.0,0.014634146341463428,1,35.98904351753967,59.457394498050604,10250.0,9854.5,9486.5,10504.62229618742,9204.37770381258
2020-05-19,10350,10550,10200,10250,80563,-0.004854368932038833,0.004807692307692291,1,27.26583353137346,58.27016133352315,10230.0,9875.5,9490.833333333334,10547.853329730731,9203.146670269269
2020-05-20,10300,10500,10150,10400,45697,0.014634146341463428,-0.0430622009569378,0,28.186204543743116,60.79906622316917,10290.0,9906.0,9501.0,10614.446187088335,9197.553812911665
2020-05-21,10400,10500,10250,10450,35839,0.004807692307692291,0.010000000000000009,1,28.656729486072607,61.63370598369055,10340.0,9948.0,9511.166666666666,10680.46433360267,9215.53566639733
2020-05-22,10450,10450,9800,10000,96882,-0.0430622009569378,0.00990099009900991,1,-3.153512460307553,51.090554094446865,10280.0,9970.0,9518.166666666666,10680.633520177596,9259.366479822404
2020-05-25,10000,10250,9990,10100,83654,0.010000000000000009,0.009803921568627416,1,-18.42226567088852,53.01405466553659,10240.0,10004.0,9521.666666666666,10669.774736679006,9338.225263320994
2020-05-26,10200,10250,10000,10200,69027,0.00990099009900991,0.0,0,-22.48073286013718,54.92319303147497,10230.0,10041.5,9528.833333333334,10661.121658756374,9421.878341243626
2020-05-27,10350,11000,10200,10300,147097,0.009803921568627416,-0.024271844660194164,0,-19.248820256614152,56.81295710207307,10210.0,10099.0,9535.5,10573.463908005659,9624.536091994341
2020-05-28,10650,10650,10150,10300,57253,0.0,0.014925373134328401,1,-17.95475546303311,56.81295710207307,10180.0,10139.5,9537.166666666666,10529.959985145728,9749.040014854272
2020-05-29,10350,10400,10050,10050,116185,-0.024271844660194164,0.02941176470588225,1,-33.856626584035695,50.6556386803113,10190.0,10152.0,9539.166666666666,10513.087247074722,9790.912752925278
2020-06-01,10150,10200,10050,10200,46186,0.014925373134328401,0.023809523809523725,1,-34.09874320735639,53.88503979320765,10210.0,10165.5,9542.5,10512.283794315712,9818.716205684288
2020-06-02,10200,10500,10100,10500,50991,0.02941176470588225,-0.013953488372092981,0,-14.862569432035002,59.5823537912455,10270.0,10201.5,9548.333333333334,10529.724008871992,9873.275991128008
2020-06-03,10550,10950,10550,10750,144694,0.023809523809523725,-0.004716981132075526,0,12.41681900363426,63.61637118964268,10360.0,10239.5,9553.333333333334,10630.88088864941,9848.11911135059
2020-06-04,10850,10900,10600,10600,84119,-0.013953488372092981,0.028436018957346043,1,17.75214197735758,59.762214517868664,10420.0,10277.5,9555.833333333334,10653.631625897107,9901.368374102893
2020-06-05,10700,10700,10550,10550,50786,-0.004716981132075526,-0.04147465437788023,0,15.394969059552437,58.49015717449167,10520.0,10297.5,9563.333333333334,10686.69789310838,9908.30210689162
2020-06-08,10850,11150,10750,10850,110486,0.028436018957346043,0.0,0,30.640949732355978,63.50898080821677,10650.0,10337.5,9576.666666666666,10777.812389105737,9897.187610894263
2020-06-09,10850,10950,10300,10400,123312,-0.04147465437788023,-0.019230769230769273,0,8.187941760624597,53.13176135299484,10630.0,10340.0,9582.5,10781.134900002258,9898.865099997742
2020-06-10,10400,10550,10250,10400,84093,0.0,0.014705882352941124,1,-8.017751420582186,53.13176135299484,10560.0,10355.0,9590.833333333334,10782.668095606865,9927.331904393135
