Date,Open,High,Low,Close,Volume,Change,return,profit,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-01-02,11150,11150,10800,10800,535126,-0.03139013452914796,0.0046948356807512415,1,,,,,,,
2020-01-03,10850,10950,10600,10650,1105818,-0.01388888888888884,0.004672897196261738,1,,,,,,,
2020-01-06,10650,11000,10650,10700,621617,0.0046948356807512415,-0.0046511627906976605,0,,,,,,,
2020-01-07,10750,10950,10700,10750,558224,0.004672897196261738,0.009345794392523255,1,,,,,,,
2020-01-08,10650,10750,10450,10700,939725,-0.0046511627906976605,0.01388888888888884,1,,,10720.0,,,,
2020-01-09,10650,10850,10650,10800,805838,0.009345794392523255,0.009132420091324311,1,,,10720.0,,,,
2020-01-10,10750,10950,10650,10950,511135,0.01388888888888884,0.004524886877828038,1,,,10780.0,,,,
2020-01-13,11000,11100,10950,11050,439552,0.009132420091324311,0.013513513513513598,1,,,10850.0,,,,
2020-01-14,11100,11100,11000,11100,514891,0.004524886877828038,-0.013333333333333308,0,,,10920.0,,,,
2020-01-15,11150,11250,11050,11250,625310,0.013513513513513598,0.0,0,,,11030.0,,,,
2020-01-16,11250,11250,11100,11100,437062,-0.013333333333333308,0.0,0,,,11090.0,,,,
2020-01-17,11150,11300,11100,11100,470151,0.0,-0.0045045045045044585,0,,,11120.0,,,,
2020-01-20,11050,11200,10950,11100,418563,0.0,0.013574660633484115,1,,,11130.0,,,,
2020-01-21,11100,11100,11000,11050,273398,-0.0045045045045044585,-0.004464285714285698,0,,60.88497432427536,11120.0,,,,
2020-01-22,11150,11250,11100,11200,684690,0.013574660633484115,0.008968609865470878,1,,68.59426763750974,11110.0,,,,
2020-01-23,11150,11200,11000,11150,738765,-0.004464285714285698,-0.026666666666666616,0,,64.06181165861845,11120.0,,,,
2020-01-28,11100,11450,11050,11250,1071256,0.008968609865470878,-0.0091324200913242,0,,68.53924916880084,11150.0,,,,
2020-01-29,11250,11300,10950,10950,896562,-0.026666666666666616,-0.032258064516129004,0,,48.86890693120139,11120.0,,,,
2020-01-30,11000,11150,10700,10850,1151079,-0.0091324200913242,-0.00952380952380949,0,,44.30450490003222,11080.0,,,,
2020-01-31,10850,10900,10450,10500,872491,-0.032258064516129004,0.004807692307692291,1,,32.7683993629643,10940.0,10950.0,,11375.440947723651,10524.559052276349
2020-02-03,10500,10500,10050,10400,1134604,-0.00952380952380949,0.009569377990430672,1,,30.337806860237492,10790.0,10930.0,,11415.180378828327,10444.819621171673
2020-02-04,10350,10600,10250,10450,1058439,0.004807692307692291,0.033175355450236976,1,,33.013278410006876,10630.0,10920.0,,11435.16987489565,10404.83012510435
2020-02-05,10500,10550,10300,10550,1025465,0.009569377990430672,-0.004587155963302725,0,,38.13115578733609,10550.0,10912.5,,11444.359943970214,10380.640056029786
2020-02-06,10650,10900,10600,10900,741988,0.033175355450236976,-0.009216589861751112,0,,51.96422827520782,10560.0,10920.0,,11446.687763290545,10393.312236709455
2020-02-07,10900,11000,10650,10850,515387,-0.004587155963302725,0.04651162790697683,1,,50.23620296380486,10630.0,10927.5,,11445.645732395818,10409.354267604182
2020-02-10,10600,10800,10600,10750,432534,-0.009216589861751112,0.004444444444444473,1,,46.878559668349894,10700.0,10925.0,,11446.05661880452,10403.94338119548
2020-02-11,10750,11350,10750,11250,1721541,0.04651162790697683,-0.013274336283185861,0,,60.93702116798321,10860.0,10940.0,,11479.999999999998,10400.000000000002
2020-02-12,11300,11350,11200,11300,1196496,0.004444444444444473,-0.017937219730941756,0,,62.01948522355429,11010.0,10952.5,,11513.280705802186,10391.719294197814
2020-02-13,11350,11500,11050,11150,1333974,-0.013274336283185861,0.0,0,,56.92331153538619,11060.0,10955.0,,11518.826214360417,10391.173785639583
2020-02-14,11050,11100,10800,10950,1234719,-0.017937219730941756,0.009132420091324311,1,,50.91583164320523,11080.0,10940.0,,11487.357287336159,10392.642712663841
2020-02-17,11050,11100,10850,10950,755337,0.0,-0.009049773755656076,0,,50.91583164320523,11120.0,10932.5,,11474.971197392082,10390.028802607918
2020-02-18,10950,11050,10850,11050,1006354,0.009132420091324311,0.004566210045662045,1,,53.74648250034679,11080.0,10930.0,,11469.81478305063,10390.18521694937
2020-02-19,11150,11150,10900,10950,769910,-0.009049773755656076,-0.009090909090909038,0,,50.60371704930617,11010.0,10922.5,,11456.798605650434,10388.201394349566
2020-02-20,10950,11100,10850,11000,1110600,0.004566210045662045,-0.04587155963302747,0,14.97636615927901,52.1115303501397,10980.0,10920.0,,11452.353266168246,10387.646733831754
2020-02-21,10850,11150,10800,10900,929092,-0.009090909090909038,0.004807692307692291,1,5.1977075590914055,48.89677314083972,10970.0,10905.0,,11421.623654123578,10388.376345876422
2020-02-24,10750,10900,10350,10400,935132,-0.04587155963302747,0.009569377990430672,1,-33.312598344683494,36.70442269592714,10860.0,10867.5,,11415.473539507155,10319.526460492845
2020-02-25,10450,10550,10400,10450,870164,0.004807692307692291,0.023696682464454888,1,-52.636929033314686,38.35964768120151,10740.0,10827.5,,11374.74309040864,10280.25690959136
2020-02-26,10500,10700,10400,10550,868816,0.009569377990430672,-0.02314814814814814,0,-55.61199540505304,41.64639300089896,10660.0,10807.5,,11364.523338828812,10250.476661171188
2020-02-27,10500,10950,10500,10800,1105255,0.023696682464454888,0.009478672985782088,1,-38.48430118625059,48.97186081158998,10620.0,10805.0,,11361.68662638867,10248.31337361133
2020-02-28,10850,10850,10450,10550,3185912,-0.02314814814814814,-0.009389671361502372,0,-41.47556651946378,43.13970033378011,10550.0,10807.5,,11359.111276171905,10255.888723828095
2020-03-02,10450,10800,10400,10650,970453,0.009478672985782088,0.004739336492890933,1,-34.48948531733868,45.91435869815534,10600.0,10820.0,,11344.785670536075,10295.214329463925
2020-03-03,10650,10750,10500,10550,1110590,-0.009389671361502372,0.004716981132075526,1,-34.3009427707435,43.62195960609206,10620.0,10825.0,,11337.347538297978,10312.652461702022
2020-03-04,10650,10700,10450,10600,807558,0.004739336492890933,-0.0046948356807511304,0,-28.73202111548278,45.0979547085942,10630.0,10827.5,,11334.919944424732,10320.080055575268
2020-03-05,10650,10700,10500,10650,1229107,0.004716981132075526,-0.028301886792452824,0,-20.017228057534425,46.60342781451289,10600.0,10815.0,,11326.957029446807,10303.042970553193
2020-03-06,10550,10700,10450,10600,1138624,-0.0046948356807511304,0.024271844660194164,1,-16.123650672604768,45.26668501772887,10610.0,10802.5,,11322.572110384703,10282.427889615297
2020-03-09,10450,10500,10200,10300,998067,-0.028301886792452824,-0.004739336492891044,0,-31.37369252245935,38.18882153763661,10540.0,10780.0,,11344.269439186633,10215.730560813367
2020-03-10,10450,10650,10300,10550,1397715,0.024271844660194164,-0.09142857142857141,0,-22.651929550652127,45.79499639700185,10540.0,10745.0,,11274.05576265645,10215.94423734355
2020-03-11,10450,10600,10450,10500,791147,-0.004739336492891044,-0.03563941299790352,0,-18.455983770511224,44.61257772777742,10520.0,10705.0,,11178.180726572837,10231.819273427163
2020-03-12,10600,10600,9290,9540,2159971,-0.09142857142857141,0.04021739130434776,1,-75.34870009152235,29.08489470425242,10298.0,10624.5,,11280.105826697718,9968.894173302282
