Date,Open,High,Low,Close,Volume,Change,MACD,RSI,MA5,MA20,MA60
2020-01-02,30909,31010,30508,30609,241047,-0.006523855890944508,,,,,
2020-01-03,30810,31111,30308,30609,314848,0.0,,,,,
2020-01-06,30206,31109,30106,31010,393715,0.01310072200986645,,,,,
2020-01-07,31110,32113,31009,32114,840186,0.035601418897129866,,,,,
2020-01-08,31813,32516,31412,32014,851619,-0.0031139067073550075,,,31271.2,,
2020-01-09,32816,33216,32615,32917,878319,0.02820640969575816,,,31732.8,,
2020-01-10,33118,33419,32716,33118,401906,0.006106267278306099,,,32234.6,,
2020-01-13,33217,33618,33117,33519,475667,0.012108219095356088,,,32736.4,,
2020-01-14,33618,33818,33217,33519,423286,0.0,,,33017.4,,
2020-01-15,33518,34220,33418,34121,462119,0.01795996300605629,,,33438.8,,
2020-01-16,34120,34521,34120,34422,260049,0.008821546847982198,,,33739.8,,
2020-01-17,34420,34621,33719,33820,354724,-0.017488815292545423,,,33880.2,,
2020-01-20,33919,34119,33518,33820,380510,0.0,,,33940.4,,
2020-01-21,33820,33921,32817,33118,389155,-0.020756948551153176,,64.06089908297062,33860.2,,
2020-01-22,33317,33919,33016,33318,504350,0.006039012017633905,,66.12189976632521,33699.6,,
2020-01-23,33718,33718,33016,33218,323420,-0.0030013806350921435,,64.14127058251009,33458.8,,
2020-01-28,32114,32817,32014,32616,513228,-0.018122704557769875,,53.71086547985107,33218.0,,
2020-01-29,33218,33318,32616,32817,255167,0.006162619573215622,,56.26796457335363,33017.4,,
2020-01-30,32716,33218,32215,32516,418908,-0.009172075448700356,,51.66517107615382,32897.0,,
2020-01-31,32614,32915,31812,31913,346067,-0.0185447164472875,,43.91503969064102,32616.0,32756.4,
2020-02-03,31311,32215,31311,32014,423907,0.0031648544480304963,,45.39262060750694,32375.2,32826.65,
2020-02-04,32414,33216,32214,33017,394773,0.03133004310614096,,57.396343771048414,32455.4,32947.05,
2020-02-05,33417,33517,32414,32716,456954,-0.009116515734318709,,53.58925829332399,32435.2,33032.35,
2020-02-06,33217,33718,32816,33318,552044,0.018400782491747147,,59.39084785420703,32595.6,33092.55,
2020-02-07,33519,34222,33318,33620,522100,0.009064169517978282,,61.95985765070612,32937.0,33172.85,
2020-02-10,33620,34021,33318,33921,375209,0.008953004164188094,,64.37863885238637,33318.4,33223.05,
2020-02-11,33920,34120,33719,34121,307120,0.005896052592789136,,65.92884512330878,33539.2,33273.2,
2020-02-12,34021,34523,33720,34523,407917,0.011781600773717038,,68.8620952954536,33900.6,33323.4,
2020-02-13,35025,36430,34824,35928,1877980,0.04069750601048572,,76.48263677801246,34422.6,33443.85,
