Date,Open,High,Low,Close,Volume,Change,return,profit,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-01-02,321000,321000,313500,314000,139496,-0.011023622047244053,-0.012861736334405127,0,,,,,,,
2020-01-03,317000,318500,310500,311000,165030,-0.009554140127388533,0.013029315960912058,1,,,,,,,
2020-01-06,308000,311000,306500,307000,138154,-0.012861736334405127,-0.02893890675241162,0,,,,,,,
2020-01-07,306000,313500,305000,311000,133788,0.013029315960912058,0.01490066225165565,1,,,,,,,
2020-01-08,306000,307000,301500,302000,225471,-0.02893890675241162,0.06035889070146827,1,,,309000.0,,,,
2020-01-09,305000,307500,304500,306500,198621,0.01490066225165565,0.023076923076922995,1,,,307500.0,,,,
2020-01-10,307000,325500,306500,325000,610981,0.06035889070146827,0.003007518796992459,1,,,310300.0,,,,
2020-01-13,328500,335000,327500,332500,359435,0.023076923076922995,-0.014992503748125885,0,,,315400.0,,,,
2020-01-14,335000,343000,331000,333500,425340,0.003007518796992459,0.0015220700152207556,1,,,319900.0,,,,
2020-01-15,330500,333000,327000,328500,231766,-0.014992503748125885,0.012158054711246091,1,,,325200.0,,,,
2020-01-16,328500,330000,324000,329000,194414,0.0015220700152207556,0.06306306306306309,1,,,329700.0,,,,
2020-01-17,330500,333000,330000,333000,221203,0.012158054711246091,-0.026836158192090398,0,,,331300.0,,,,
2020-01-20,340500,355000,340000,354000,556519,0.06306306306306309,0.020319303338171224,1,,,335600.0,,,,
2020-01-21,358000,359000,344500,344500,364883,-0.026836158192090398,-0.008534850640113834,0,,67.98484062470635,337800.0,,,,
2020-01-22,347500,353000,344500,351500,311524,0.020319303338171224,-0.03443328550932567,0,,71.3076970887492,342400.0,,,,
2020-01-23,347500,354000,347000,348500,260932,-0.008534850640113834,-0.004457652303120341,0,,68.04798615921051,346300.0,,,,
2020-01-28,338000,339500,335000,336500,348298,-0.03443328550932567,0.025373134328358304,1,,56.85263004498814,347000.0,,,,
2020-01-29,338000,339000,332500,335000,272147,-0.004457652303120341,-0.017467248908296984,0,,55.62078953700717,343200.0,,,,
2020-01-30,338500,347500,338500,343500,642288,0.025373134328358304,0.03703703703703698,1,,60.80356970014832,343000.0,,,,
2020-01-31,349000,354000,335000,337500,391298,-0.017467248908296984,0.0842857142857143,1,,55.84575394947572,340200.0,329200.0,,360127.9808587628,298272.0191412372
2020-02-03,328500,351500,325500,350000,594448,0.03703703703703698,0.006587615283267567,1,,62.6740935905099,340500.0,331000.0,,362367.180300435,299632.819699565
2020-02-04,364500,385000,361500,379500,995237,0.0842857142857143,0.0,0,,73.20547584399488,349100.0,334425.0,,370858.8784649671,297991.1215350329
2020-02-05,391000,391500,377000,382000,731711,0.006587615283267567,0.011780104712041828,1,,73.87811508733591,358500.0,338175.0,,377841.4530806574,298508.5469193426
2020-02-06,374500,385000,372500,382000,551088,0.0,0.001293661060802087,1,,73.87811508733591,366200.0,341725.0,,383670.768558938,299779.231441062
2020-02-07,377000,391500,377000,386500,392312,0.011780104712041828,0.0684754521963824,1,,75.17888166529305,376000.0,345950.0,,388061.6373464627,303838.3626535373
2020-02-10,382500,390000,381000,387000,291904,0.001293661060802087,-0.013301088270858519,0,,75.32590230623141,383400.0,349975.0,,391620.49795596144,308329.50204403856
2020-02-11,394500,420000,393500,413500,983089,0.0684754521963824,0.008578431372548989,1,,81.56005184281454,390200.0,354400.0,,402756.5921049032,306043.4078950968
2020-02-12,408500,412000,403500,408000,463511,-0.013301088270858519,0.004860267314702238,1,,77.20035081275456,395400.0,358175.0,,410710.9638723797,305639.0361276203
2020-02-13,408500,418000,408000,411500,448366,0.008578431372548989,0.0145102781136639,1,,78.00604921459774,401300.0,362075.0,,418165.35122015176,305984.64877984824
2020-02-14,416500,420000,412000,413500,301730,0.004860267314702238,-0.0035756853396901045,0,,78.4741625661895,406700.0,366325.0,,424439.7786711778,308210.2213288222
2020-02-17,420500,422500,409000,419500,514355,0.0145102781136639,-0.03349282296650713,0,,79.85910727021586,413200.0,370850.0,,430702.4017897359,310997.5982102641
2020-02-18,418000,422000,415000,418000,366288,-0.0035756853396901045,0.03712871287128716,1,,78.49934464191543,414100.0,375100.0,,435665.33662087563,314534.66337912437
2020-02-19,420500,421500,403500,404000,766920,-0.03349282296650713,-0.02863961813842486,0,,67.02795392092969,413300.0,377600.0,,438601.3114613118,316598.6885386882
2020-02-20,408500,422000,406000,419000,482732,0.03712871287128716,-0.029484029484029506,0,1138.6730738786173,71.78538098015855,414800.0,381325.0,,442882.51375746075,319767.48624253925
2020-02-21,407000,416500,406500,407000,400924,-0.02863961813842486,0.0113924050632912,1,-39.52976962538378,63.84847168907117,413500.0,384100.0,,445029.95978990936,323170.04021009064
2020-02-24,392000,400000,391500,395000,463848,-0.029484029484029506,-0.01126408010012514,0,-1737.8297972655273,57.05497161756975,408600.0,386425.0,,445256.34793628287,327593.65206371713
2020-02-25,395500,400500,391500,399500,478820,0.0113924050632912,-0.017721518987341756,0,-2616.136651582412,58.82426709462547,404900.0,389575.0,,443954.4768271999,335195.5231728001
2020-02-26,394000,398000,387000,395000,334971,-0.01126408010012514,-0.05154639175257736,0,-3502.8416438713975,56.32521662371426,403100.0,392575.0,,440858.8223424779,344291.1776575221
2020-02-27,394000,398000,384000,388000,345104,-0.017721518987341756,0.024456521739130377,1,-4499.888360321715,52.582958584517996,396900.0,394800.0,,437625.69322264346,351974.30677735654
2020-02-28,376500,380000,366500,368000,643995,-0.05154639175257736,0.025198938992042397,1,-6333.2017692066875,43.65791254765334,389100.0,396325.0,,432542.778783354,360107.221216646
