Date,Open,High,Low,Close,Volume,Change,MACD,RSI,MA5,MA20,MA60
2020-01-02,39100,39100,38100,38550,159043,-0.01532567049808431,,,,,
2020-01-03,38550,38950,38350,38600,145877,0.0012970168612191912,,,,,
2020-01-06,38500,38800,37600,37900,144486,-0.01813471502590669,,,,,
2020-01-07,38100,38450,37750,38100,104094,0.005277044854881341,,,,,
2020-01-08,37900,37950,36600,37400,167652,-0.018372703412073532,,,38110.0,,
2020-01-09,37600,37900,37200,37600,133776,0.005347593582887722,,,37920.0,,
2020-01-10,37250,37550,36950,37500,89521,-0.0026595744680850686,,,37700.0,,
2020-01-13,37150,37450,36800,37350,121718,-0.0040000000000000036,,,37590.0,,
2020-01-14,37600,38600,37600,38600,223383,0.03346720214190091,,,37690.0,,
2020-01-15,38500,39200,38200,39200,153678,0.015544041450777257,,,38050.0,,
2020-01-16,39200,39500,38600,39250,113104,0.0012755102040815647,,,38380.0,,
2020-01-17,39300,39400,38550,38700,123402,-0.014012738853503182,,,38620.0,,
2020-01-20,38700,38750,38000,38500,81032,-0.0051679586563307955,,,38850.0,,
2020-01-21,38550,38850,38500,38850,84655,0.009090909090909038,,56.4626371746056,38900.0,,
2020-01-22,39100,39750,38500,39650,175432,0.0205920205920207,,65.24343013695659,38990.0,,
2020-01-23,39500,40850,39500,40700,293790,0.02648171500630525,,72.95361566886662,39280.0,,
2020-01-28,39950,40300,39200,39300,177534,-0.03439803439803435,,55.3294768986715,39400.0,,
2020-01-29,39200,40150,38700,39550,136778,0.006361323155216203,,57.312633901797625,39610.0,,
2020-01-30,39150,39550,37600,37700,227864,-0.04677623261694053,,42.33477541402183,39380.0,,
2020-01-31,37450,38150,37400,37550,114292,-0.003978779840848823,,41.390275577012055,38960.0,38527.5,
2020-02-03,37000,37850,36400,37000,195647,-0.01464713715046606,,38.03914402655114,38220.0,38450.0,
2020-02-04,37000,37250,36300,36600,165263,-0.010810810810810811,,35.770825172591955,37680.0,38350.0,
2020-02-05,36600,36900,36200,36700,138784,0.002732240437158362,,36.78570209649832,37110.0,38290.0,
2020-02-06,36850,37600,36850,37400,96816,0.019073569482288777,,43.51399125267754,37050.0,38255.0,
2020-02-07,37200,38450,37150,37700,133613,0.008021390374331583,,46.15890265899785,37080.0,38270.0,
2020-02-10,37550,37600,37000,37250,93126,-0.011936339522546469,,42.91300300190764,37130.0,38252.5,
2020-02-11,37300,37950,37200,37450,113994,0.005369127516778427,,44.77184433071441,37300.0,38250.0,
2020-02-12,37100,37850,36600,36800,169688,-0.01735647530040052,,40.19141239002769,37320.0,38222.5,
2020-02-13,36600,36800,36300,36500,204561,-0.008152173913043459,,38.24656099917849,37140.0,38117.5,
2020-02-14,36400,36500,35650,36150,200288,-0.009589041095890427,,36.05454059351326,36830.0,37965.0,
2020-02-17,36050,36400,35650,36350,242293,0.0055325034578146415,,38.23302845643388,36650.0,37820.0,
2020-02-18,37750,37800,36150,36300,241098,-0.0013755158184318717,,37.88553744320051,36420.0,37700.0,
2020-02-19,36650,37200,36050,37200,204070,0.024793388429751984,,47.18976212823369,36500.0,37635.0,
2020-02-20,37200,37450,36550,36600,93495,-0.016129032258064502,-24.752216310918925,42.60762379310129,36520.0,37522.5,
2020-02-21,36150,36500,35200,35450,190797,-0.031420765027322384,-85.00186098466077,35.493785320961095,36380.0,37312.5,
2020-02-24,34750,34800,34050,34200,166670,-0.035260930888575404,-193.61610241449785,29.69097918199239,35950.0,36987.5,
2020-02-25,34150,34500,33600,33950,162865,-0.007309941520467822,-262.5916440212584,28.681039783765755,35480.0,36720.0,
2020-02-26,33900,34150,33650,33900,137923,-0.0014727540500736325,-289.74457240335005,28.472441761546918,34820.0,36437.5,
2020-02-27,33650,33750,33100,33400,126883,-0.014749262536873142,-317.3180579091454,26.40432503053519,34180.0,36222.5,
2020-02-28,33450,33950,32650,33250,307210,-0.004491017964071808,-320.6502784222914,25.798903964134595,33740.0,36007.5,
2020-03-02,34200,34200,32950,33900,207790,0.019548872180451093,-256.828905264324,32.97108777160791,33680.0,35852.5,
2020-03-03,34350,34450,33550,33600,129038,-0.008849557522123908,-214.30399801590318,31.45965900725166,33610.0,35702.5,
2020-03-04,33550,34100,33400,33850,112533,0.007440476190476275,-151.76837166507778,34.16794939365603,33600.0,35560.0,
2020-03-05,33950,34200,33600,34150,100876,0.008862629246676468,-76.43184111195626,37.366278242950855,33750.0,35397.5,
2020-03-06,33850,34050,33050,33200,114098,-0.027818448023426035,-76.61909336448548,32.05532004073055,33740.0,35172.5,
2020-03-09,32800,33300,32100,32500,186623,-0.02108433734939763,-108.0043271016466,28.806385733902133,33460.0,34935.0,
2020-03-10,32500,32800,31700,32300,155748,-0.006153846153846176,-125.14358979656754,27.935202953364012,33200.0,34677.5,
2020-03-11,33000,33000,31550,32150,177448,-0.004643962848297267,-128.9791746147996,27.269106133981893,32860.0,34445.0,
2020-03-12,32450,32450,30100,30550,245405,-0.04976671850699843,-216.5168470876838,21.405928983110854,32140.0,34147.5,
2020-03-13,28000,30100,27600,29800,315150,-0.02454991816693941,-297.18999714704296,19.310027041257314,31460.0,33830.0,
2020-03-16,30250,30750,29000,29550,189085,-0.008389261744966459,-336.7453896856357,18.65436392499099,30870.0,33490.0,
2020-03-17,27900,29450,27750,28850,216978,-0.02368866328257191,-376.4058472127688,16.921807684005728,30180.0,33117.5,
2020-03-18,28850,29700,28150,28350,197674,-0.017331022530329254,-400.4316528914901,15.793465124113695,29420.0,32675.0,
2020-03-19,28800,28950,26300,26500,291425,-0.06525573192239864,-498.639670668633,12.478113756551878,28610.0,32170.0,
2020-03-20,26500,27400,25600,26900,361447,0.015094339622641506,-493.46919100423474,16.556761818528955,28030.0,31742.5,
2020-03-23,25100,25750,24500,24750,275575,-0.0799256505576208,-585.384443635799,13.039379086440846,27070.0,31270.0,
2020-03-24,24900,25850,24750,25850,228585,0.04444444444444451,-524.5911860160309,22.15176126469275,26470.0,30865.0,
2020-03-25,26950,27400,25950,27350,219641,0.05802707930367501,-344.54736069284263,32.53372035774687,26270.0,30537.5,
2020-03-26,27300,29400,26400,28700,264029,0.04936014625228524,-107.98514107517803,40.256102138442806,26710.0,30302.5,
2020-03-27,29550,30800,29150,30000,222623,0.04529616724738683,148.65596747890095,46.59535148736245,27330.0,30140.0,34891.666666666664
2020-03-30,28400,29850,28400,29500,150176,-0.01666666666666672,289.2179717441809,44.63371447512066,28280.0,29920.0,34740.833333333336
2020-03-31,29800,30300,29050,29050,160011,-0.015254237288135575,352.1870466664095,42.883878640330636,28920.0,29692.5,34581.666666666664
2020-04-01,28850,29650,28150,28400,204740,-0.022375215146299476,349.6551954593642,40.418947443935416,29130.0,29420.0,34423.333333333336
2020-04-02,28400,30150,28200,29850,173681,0.051056338028169,439.42151564092865,47.64802877657274,29360.0,29205.0,34285.833333333336
2020-04-03,29500,30100,29350,30050,121639,0.00670016750418756,501.5592324083691,48.57485254382283,29370.0,29047.5,34163.333333333336
2020-04-06,30250,31500,30050,31300,139011,0.04159733777038266,608.9879060830565,54.050208622799836,29730.0,28987.5,34058.333333333336
2020-04-07,31800,33100,31500,32950,202659,0.05271565495207664,763.3115444275809,60.09066712404482,30510.0,29020.0,33982.5
2020-04-08,32950,32950,32050,32150,157473,-0.02427921092564489,780.8451202259093,56.23097468872444,31260.0,29020.0,33895.833333333336
2020-04-09,32450,32600,31700,32100,149294,-0.0015552099533436836,757.8057397534837,55.988920574624274,31710.0,29097.5,33787.5
2020-04-10,31900,32400,31450,32300,98515,0.006230529595015577,724.7710020996461,56.79016340377556,32160.0,29222.5,33672.5
2020-04-13,32000,32750,31650,32000,116135,-0.009287925696594423,653.6423721131612,55.167743380683966,32300.0,29345.0,33551.666666666664
2020-04-14,31950,32750,31850,32700,101926,0.02187500000000009,624.6937893656401,58.17059152995365,32250.0,29537.5,33451.666666666664
2020-04-16,31700,32000,30950,31200,248249,-0.04587155963302747,481.8777116996998,50.38297618650471,32060.0,29680.0,33330.0
2020-04-17,31300,32300,31300,31800,176850,0.019230769230769162,408.09714622077513,53.0883447767539,32000.0,29945.0,33212.5
2020-04-20,31600,32650,31250,31950,140341,0.004716981132075526,351.8063168358034,53.76703589094329,31930.0,30197.5,33084.166666666664
2020-04-21,31500,32250,30800,31650,124665,-0.009389671361502372,279.90878701745635,52.1422510382209,31860.0,30542.5,32933.333333333336
2020-04-22,31050,31950,31050,31950,127120,0.009478672985782088,239.6508965828697,53.65062266369403,31710.0,30847.5,32810.833333333336
2020-04-23,31950,32350,31600,32300,99257,0.010954616588419341,223.97917461312966,55.41611356486106,31930.0,31095.0,32690.0
2020-04-24,32100,32150,31300,32000,147244,-0.009287925696594423,182.5471489591023,53.53381853407884,31970.0,31260.0,32595.0
2020-04-27,31800,32250,31650,32200,100787,0.006250000000000089,158.6337692946039,54.63997942163338,32020.0,31370.0,32505.833333333332
2020-04-28,32050,32300,31600,32000,107610,-0.006211180124223614,121.06569244517041,53.274192734757904,32090.0,31495.0,32422.5
2020-04-29,32000,32500,32000,32450,112919,0.014062500000000089,118.11404488173858,55.942636493544406,32190.0,31665.0,32353.333333333332
2020-05-04,31700,32050,31500,31700,116997,-0.023112480739599373,60.16363242424552,50.74150299830775,32070.0,31830.0,32270.0
2020-05-06,32200,32700,31750,32550,100490,0.02681388012618302,72.75005303394215,55.761441362363016,32180.0,31965.0,32189.166666666668
2020-05-07,32300,32600,32250,32450,77757,-0.003072196620583667,68.09520040470818,55.05064467466042,32230.0,32085.0,32101.666666666668
2020-05-08,32800,33350,32450,32450,142043,0.0,59.10443044068643,55.05064467466042,32320.0,32142.5,32021.666666666668
2020-05-11,32350,32350,31300,31300,217067,-0.035439137134052334,-25.657721832929724,47.05136567115318,32090.0,32060.0,31919.166666666668
2020-05-12,31300,31450,30200,30200,267481,-0.03514376996805113,-150.21917418861733,40.925567621375336,31790.0,31962.5,31809.166666666668
2020-05-13,29850,30750,29700,30650,151223,0.01490066225165565,-193.9365808330892,44.13015711078334,31410.0,31890.0,31711.666666666668
2020-05-14,30900,31600,30700,31200,173902,0.01794453507340954,-177.86698006048516,47.85349869687363,31160.0,31835.0,31629.166666666668
2020-05-15,31300,31400,30900,31050,79764,-0.004807692307692291,-169.4334061779412,46.93481959584291,30880.0,31787.5,31540.833333333332
2020-05-18,31050,31450,30800,31100,72632,0.0016103059581320522,-153.07834212534385,47.29801516478243,30840.0,31707.5,31454.166666666668
2020-05-19,31400,32350,31400,31750,126655,0.020900321543408262,-93.9761061851519,51.906375600108284,31150.0,31735.0,31363.333333333332
2020-05-20,32000,32000,31550,31900,77140,0.0047244094488188,-42.873649279379315,52.929275039545495,31400.0,31740.0,31285.0
2020-05-21,32000,32100,31500,31550,81271,-0.010971786833855801,-31.27528831438662,50.243986301245,31470.0,31720.0,31220.0
2020-05-22,31850,31850,30900,31050,96632,-0.015847860538827252,-54.546701474970135,46.606291686586445,31470.0,31690.0,31167.5
2020-05-25,31250,31300,30850,31050,51176,0.0,-66.42073271045807,46.606291686586445,31460.0,31645.0,31119.166666666668
2020-05-26,31200,31700,31150,31700,98156,0.02093397745571668,-28.895781654144496,51.86103620018145,31450.0,31615.0,31082.5
2020-05-27,31600,32200,31600,31800,172506,0.003154574132492094,2.590518775625757,52.63337051296257,31430.0,31605.0,31055.833333333332
2020-05-28,31800,31950,30850,31050,221677,-0.02358490566037741,-25.609572477702336,46.59531882372316,31330.0,31547.5,31019.166666666668
2020-05-29,31050,31400,30800,30850,162881,-0.006441223832528209,-54.583557842824625,45.109197846664095,31290.0,31490.0,30968.333333333332
2020-06-01,30900,31650,30800,31650,99641,0.025931928687196182,-18.58167006720727,51.73970199030488,31410.0,31450.0,30935.833333333332
2020-06-02,31550,32400,31550,32200,167091,0.017377567140600236,40.34649318403416,55.70150879633402,31510.0,31475.0,30908.333333333332
2020-06-03,32400,33250,32300,32650,275913,0.013975155279503104,104.08156585484298,58.68962151465532,31680.0,31480.0,30883.333333333332
2020-06-04,33350,33600,32000,32000,188939,-0.019908116385911168,97.05176525635859,53.11621538342636,31870.0,31457.5,30863.333333333332
2020-06-05,32400,32700,31800,32700,92596,0.02187500000000009,131.96907234893376,57.76752531972038,32240.0,31470.0,30866.666666666668
2020-06-08,33100,33100,32100,32250,149966,-0.013761467889908285,117.65649335504338,54.05485424094629,32360.0,31517.5,30865.833333333332
2020-06-09,32300,32550,31800,32050,122785,-0.006201550387596955,88.92411755141501,52.44167929963857,32330.0,31610.0,30864.166666666668
2020-06-10,32350,32350,31850,32000,107959,-0.0015600624024960652,62.02986460420411,52.02368288912032,32200.0,31677.5,30888.333333333332
2020-06-11,32400,32400,31350,31650,206040,-0.010937500000000044,18.4108748790934,49.074930033230864,32130.0,31700.0,30919.166666666668
2020-06-12,30650,31000,30600,30800,165772,-0.026856240126382325,-65.35507034487655,42.73916734025776,31750.0,31687.5,30940.0
2020-06-15,30650,30650,29300,29300,262705,-0.04870129870129869,-211.22572429064473,34.318842259245784,31160.0,31597.5,30947.5
2020-06-16,29500,30600,29500,30550,226565,0.04266211604095571,-212.39562412462502,44.18710663834594,30860.0,31537.5,30984.166666666668
2020-06-17,30500,30650,29800,29950,129170,-0.019639934533551506,-240.38715199040155,41.00263309918598,30450.0,31440.0,31041.666666666668
2020-06-18,30000,30500,29800,30150,111920,0.006677796327211993,-232.12057254185137,42.490436608256005,30150.0,31370.0,31095.833333333332
2020-06-19,30250,30800,29850,30800,126826,0.021558872305140975,-172.3144631635864,47.15474238129965,30150.0,31357.5,31196.666666666668
2020-06-22,30000,30250,29900,29950,111492,-0.02759740259740262,-178.67326619982373,42.320903945883984,30280.0,31302.5,31265.0
2020-06-23,30000,30300,29650,29800,102776,-0.005008347245408995,-181.09001835960862,41.51218180998436,30130.0,31207.5,31305.833333333332
2020-06-24,29800,30050,29700,29850,75124,0.001677852348993314,-167.73300571242214,41.91065973564568,30110.0,31110.0,31325.0
2020-06-25,29500,29700,29250,29300,97042,-0.018425460636515956,-183.09780038889028,38.78074595574202,29940.0,31022.5,31313.333333333332
2020-06-26,29400,29850,29400,29600,74187,0.010238907849829282,-160.99708836691707,41.35347136713779,29700.0,30960.0,31315.0
2020-06-29,29150,29400,29000,29000,86295,-0.020270270270270285,-173.64123092288025,37.921051166825286,29510.0,30827.5,31314.166666666668
2020-06-30,29150,29500,29050,29050,96373,0.0017241379310344307,-165.52270339159026,38.38005175703196,29360.0,30670.0,31325.0
2020-07-01,29250,29550,29100,29300,93834,0.008605851979345935,-131.67533063143446,40.73938732203753,29250.0,30502.5,31315.833333333332
2020-07-02,29400,29950,29400,29600,64749,0.010238907849829282,-79.9849534380362,43.53338516949329,29310.0,30382.5,31308.333333333332
2020-07-03,29750,29950,29600,29900,40297,0.010135135135135087,-19.638319840918655,46.26190359841553,29370.0,30242.5,31285.0
2020-07-06,29950,30450,29650,30350,93443,0.015050167224080369,52.58782659524138,50.15281813390538,29640.0,30147.5,31241.666666666668
2020-07-07,30500,30500,30050,30300,84486,-0.0016474464579900872,96.44491738720677,49.722033238774195,29890.0,30060.0,31210.833333333332
2020-07-08,30000,30200,29750,29850,99887,-0.014851485148514865,94.47488952901739,45.90072668212235,30000.0,29952.5,31173.333333333332
2020-07-09,29850,30050,29650,29650,71538,-0.00670016750418756,79.62367220625146,44.27219497122606,30010.0,29852.5,31129.166666666668
2020-07-10,29600,29650,29050,29050,142769,-0.0202360876897133,31.768756247490956,39.719332441919775,29840.0,29765.0,31080.0
2020-07-13,29400,29750,29100,29500,143406,0.015490533562822817,32.67253472954167,44.34233773580409,29670.0,29775.0,31026.666666666668
2020-07-14,29500,29950,29350,29900,100842,0.013559322033898313,60.82459020625265,48.14892886338985,29590.0,29742.5,31005.0
2020-07-15,30100,30300,29650,29800,107463,-0.0033444816053511683,72.53209709574946,47.27836937900398,29580.0,29735.0,30971.666666666668
2020-07-16,29850,30100,29600,29900,78599,0.003355704697986628,85.91697010026138,48.28532494031488,29630.0,29722.5,30937.5
2020-07-17,29950,30100,29600,29700,96577,-0.006688963210702337,80.31040522996068,46.37747906327288,29760.0,29667.5,30905.0
2020-07-20,29650,30100,29650,29900,69307,0.006734006734006703,88.43830228835014,48.566059974361586,29840.0,29665.0,30870.833333333332
2020-07-21,29900,30300,29850,30050,139663,0.0050167224080268635,101.35616423735178,50.20750087467013,29870.0,29677.5,30833.333333333332
2020-07-22,30150,30200,29950,30050,107092,0.0,106.7954469404462,50.20750087467013,29920.0,29687.5,30800.833333333332
2020-07-23,30000,30000,29350,29400,227908,-0.021630615640598982,65.53727496151654,43.26792416571266,29820.0,29692.5,30754.166666666668
2020-07-24,29600,29950,29500,29700,172921,0.010204081632652962,57.65027253927573,46.91487416346829,29820.0,29697.5,30715.833333333332
2020-07-27,29800,30050,29700,29950,189792,0.008417508417508435,67.77084256435415,49.81034239540716,29830.0,29745.0,30674.166666666668
2020-07-28,29850,30100,29600,29700,186226,-0.008347245409014992,56.58437776292854,47.04683248944365,29760.0,29777.5,30640.833333333332
2020-07-29,29550,29750,29450,29550,177023,-0.005050505050505083,38.88228842676156,45.418618968160885,29660.0,29790.0,30590.833333333332
2020-07-30,29550,29650,29300,29350,144116,-0.006768189509306244,14.744800843875112,43.268435209154475,29650.0,29777.5,30539.166666666668
2020-07-31,29550,29550,29300,29450,155365,0.0034071550255536653,6.950750060334428,44.67866217328245,29600.0,29755.0,30489.166666666668
2020-08-03,29550,29550,29100,29350,118933,-0.00339558573853993,-2.9703490701457156,43.51379633296431,29480.0,29705.0,30456.666666666668
2020-08-04,29350,29700,29250,29450,99303,0.0034071550255536653,-0.9342576965477463,45.05648010572432,29430.0,29662.5,30444.166666666668
2020-08-05,29450,29450,29150,29200,181060,-0.008488964346349714,-13.844419212462839,41.97043224148521,29360.0,29630.0,30420.0
2020-08-06,29300,29800,29250,29700,193322,0.017123287671232834,12.448971612273937,49.430589266704544,29430.0,29632.5,30395.0
2020-08-07,29750,29800,29350,29500,173953,-0.006734006734006703,17.23530815347371,46.83682357275808,29440.0,29655.0,30369.166666666668
2020-08-10,29350,29600,29250,29550,191929,0.0016949152542373724,24.20566526089013,47.57741398792594,29480.0,29657.5,30343.333333333332
2020-08-11,29550,31600,29550,31100,801517,0.05245346869712342,127.85085262922095,64.21824944858895,29810.0,29717.5,30332.5
2020-08-12,31350,31350,30200,31100,303520,0.0,187.44792184291308,64.21824944858895,30190.0,29782.5,30319.166666666668
2020-08-13,31100,31250,30650,31000,260262,-0.003215434083601254,209.50330899100356,62.72834578198878,30450.0,29837.5,30310.0
2020-08-14,30800,31000,30000,30300,377211,-0.022580645161290325,168.10401857455773,53.39050474985449,30610.0,29867.5,30297.5
2020-08-18,29800,29950,29050,29150,465382,-0.037953795379537913,60.00169301454364,42.26037004272404,30530.0,29830.0,30265.833333333332
2020-08-19,29100,29300,28950,28950,263824,-0.006861063464837058,-23.75187555314571,40.67236224899245,30100.0,29775.0,30220.0
2020-08-20,29000,29000,27900,27950,369571,-0.0345423143350605,-138.85361021656152,33.8277724944882,29470.0,29670.0,30155.833333333332
2020-08-21,28100,28450,27700,28150,158701,0.007155635062611854,-190.67227290014984,36.1423701048785,28900.0,29607.5,30107.5
2020-08-24,28200,28300,27850,28100,119962,-0.001776198934280604,-215.62974741490717,35.80518347800101,28460.0,29527.5,30061.666666666668
2020-08-25,28300,28900,28250,28800,156386,0.02491103202846978,-174.08812584377324,43.721273005957144,28390.0,29470.0,30014.166666666668
2020-08-26,28700,28800,28450,28600,130295,-0.00694444444444442,-150.08295497730742,42.123015232169244,28320.0,29415.0,29954.166666666668
2020-08-27,28500,28600,27900,28000,230370,-0.020979020979020935,-163.51267851251424,37.673653602039096,28330.0,29337.5,29876.666666666668
2020-08-28,28400,28450,27900,28000,179537,0.0,-161.0385835648458,37.673653602039096,28300.0,29270.0,29810.0
2020-08-31,28050,28350,27700,27800,235365,-0.0071428571428571175,-161.12247270251464,36.195626282022126,28240.0,29187.5,29728.333333333332
2020-09-01,27700,27950,27700,27800,161214,0.0,-149.67449563072,36.195626282022126,28040.0,29110.0,29654.166666666668
2020-09-02,27900,28200,27750,28200,158462,0.014388489208633004,-105.73048612455074,41.517561195481804,27960.0,29047.5,29590.0
2020-09-03,28250,28350,28050,28050,143511,-0.005319148936170248,-78.58094456838774,40.16462059812365,27970.0,28990.0,29524.166666666668
2020-09-04,27500,29500,27450,28450,432899,0.01426024955436711,-28.102257023562288,45.28504928777267,28060.0,28927.5,29470.833333333332
2020-09-07,28250,28400,28100,28300,178953,-0.005272407732864637,-0.6831533183404872,43.77231133234585,28160.0,28867.5,29429.166666666668
2020-09-08,28500,28500,28200,28250,143248,-0.0017667844522968323,17.228618676817064,43.253636808580396,28250.0,28802.5,29411.666666666668
2020-09-09,28000,28100,27850,27850,163056,-0.01415929203539823,5.8669648148026,39.24702849053985,28180.0,28640.0,29366.666666666668
2020-09-10,27950,28150,27850,27900,141749,0.0017953321364452268,5.457468134068904,39.995257482463536,28150.0,28480.0,29332.5
2020-09-11,27750,28000,27750,28000,75517,0.0035842293906809264,15.112482405766627,41.54584774633079,28060.0,28330.0,29296.666666666668
2020-09-14,27900,28450,27900,28300,134292,0.010714285714285676,43.29869371737635,46.04995980503587,28060.0,28230.0,29255.0
2020-09-15,28300,28350,28050,28050,141078,-0.00883392226148405,46.42393097107629,43.0715287956708,28020.0,28175.0,29223.333333333332
2020-09-16,28150,28300,28050,28100,96685,0.0017825311942958333,52.71709471199483,43.853686299567315,28070.0,28132.5,29195.0
2020-09-17,28050,28100,27750,27750,248627,-0.01245551601423489,35.018736910426355,39.737904175026834,28040.0,28122.5,29160.0
2020-09-18,27850,28000,27700,28000,136455,0.009009009009008917,41.42151886575914,43.795545507110845,28040.0,28115.0,29138.333333333332
2020-09-21,28000,28050,27750,27750,151116,-0.008928571428571397,30.591543964818356,40.83452372673623,27930.0,28097.5,29107.5
2020-09-22,27650,27750,27300,27350,190147,-0.014414414414414378,-0.11423778903952098,36.57377329792257,27790.0,28025.0,29080.0
2020-09-23,27350,27750,27300,27350,168809,0.0,-16.140816503411315,36.57377329792257,27640.0,27962.5,29051.666666666668
2020-09-24,27100,27200,26800,26950,159679,-0.014625228519195566,-47.61689273848276,32.625678915102625,27480.0,27910.0,29012.5
2020-09-25,27050,27100,26700,26750,145127,-0.007421150278293154,-74.25432549104465,30.833445760787924,27230.0,27847.5,28965.0
2020-09-28,26850,27050,26750,26750,103631,0.0,-83.52983861627246,30.833445760787924,27030.0,27795.0,28912.5
2020-09-29,27000,27200,26800,27050,111360,0.01121495327102795,-62.10131860643469,36.86673092708849,26970.0,27757.5,28857.5
2020-10-05,27100,27650,27100,27450,102302,0.014787430683918634,-16.028116042691522,43.89405546306567,26990.0,27720.0,28810.0
2020-10-06,27400,27650,27100,27300,129740,-0.005464480874316946,8.01347890714652,42.00581583528395,27060.0,27682.5,28767.5
2020-10-07,27150,27300,26950,27150,175313,-0.005494505494505475,16.96752455424962,40.14596552959881,27140.0,27617.5,28725.833333333332
2020-10-08,27200,27350,27100,27200,194460,0.0018416206261511192,28.720461067013275,41.082399259053815,27230.0,27562.5,28695.0
2020-10-12,27350,27400,27100,27200,151440,0.0,38.355236866832286,41.08239925905381,27260.0,27510.0,28656.666666666668
2020-10-13,27450,27450,27150,27250,90466,0.0018382352941177516,49.26078354682602,42.132397271051104,27220.0,27480.0,28612.5
2020-10-14,27250,27900,27250,27700,254727,0.016513761467889854,85.8059282550006,50.655694897188134,27300.0,27470.0,28577.5
