Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,9438,9746,9248,9535,115605,0.010063559322033955,-0.01251182840921039,37.5600371653658,51.16483600027285,9383.0,9543.15,9676.733333333334,10556.242942429268,8530.057057570732
2020-02-17,9533,9700,9415,9511,84346,-0.0025170424750917686,0.0,45.451776447853206,50.76269731853662,9487.4,9495.7,9649.066666666668,10417.34811072339,8574.051889276612
2020-02-18,9485,9533,9248,9392,55255,-0.01251182840921039,-0.025234241908006827,41.54156217585401,48.71806736816587,9534.8,9448.25,9627.716666666667,10284.714912593465,8611.785087406535
2020-02-19,9509,9533,9202,9392,63657,0.0,-0.023265974877116347,37.9387123223068,48.71806736816587,9454.0,9419.75,9609.916666666666,10222.414033079838,8617.085966920162
2020-02-20,9320,9438,9129,9155,77547,-0.025234241908006827,-0.029188101095951713,19.5061235499779,44.57141873372167,9397.0,9371.1,9585.0,10111.705941104978,8630.494058895023
2020-02-21,9106,9202,8799,8942,86154,-0.023265974877116347,0.01912222094228766,-5.768025984634022,41.17907599703581,9278.4,9309.45,9557.733333333334,9973.429359618947,8645.470640381054
2020-02-24,8727,8917,8562,8681,104884,-0.029188101095951713,0.029501525940996975,-37.05552194510908,37.42069579898294,9112.4,9240.65,9520.966666666667,9864.475704824661,8616.824295175338
2020-02-25,8632,8845,8608,8847,55755,0.01912222094228766,-0.020860781730347,-43.13732522883524,41.102600135034635,9003.4,9202.7,9488.95,9825.35049586424,8580.04950413576
2020-02-26,8822,9154,8608,9108,69615,0.029501525940996975,-0.021305225386858084,-26.9408737276938,46.43854394598673,8946.6,9170.7,9464.45,9741.594771389598,8599.805228610403
2020-02-27,9084,9107,8846,8918,68661,-0.020860781730347,0.021769019248395916,-26.35025116093476,43.35896190691904,8899.2,9143.4,9442.7,9707.763499882814,8579.036500117185
2020-02-28,8987,8987,8680,8728,66040,-0.021305225386858084,0.005382372729311413,-35.511963693500576,40.46882471295355,8856.4,9117.3,9420.166666666666,9707.232233396326,8527.367766603673
2020-03-02,8727,8966,8586,8918,52505,0.021769019248395916,-0.010595583314744639,-25.974327622928115,44.455966507433175,8903.8,9112.55,9403.166666666666,9707.275306338966,8517.824693661032
2020-03-03,8965,9106,8775,8966,65340,0.005382372729311413,0.0,-14.219188272892495,45.44996241878942,8927.6,9111.4,9386.183333333332,9707.164517238125,8515.635482761874
2020-03-04,8987,8987,8750,8871,50234,-0.010595583314744639,0.0,-10.783902176252326,43.780061874809505,8880.2,9117.35,9371.95,9700.889638756424,8533.810361243577
2020-03-05,8869,8941,8798,8871,48130,0.0,-0.03742531845338748,-6.656165533126,43.780061874809505,8870.8,9109.05,9367.216666666667,9701.577965584727,8516.522034415271
2020-03-06,8774,8869,8632,8871,68561,0.0,-0.019440215481906553,-2.2956263303988464,43.780061874809505,8899.4,9104.3,9364.45,9702.831569760507,8505.768430239492
2020-03-09,8751,8775,8396,8539,70796,-0.03742531845338748,-0.031171623074166988,-19.199989854605718,37.729368532407946,8823.6,9081.8,9360.1,9727.918441154541,8435.681558845457
2020-03-10,8206,8465,8015,8373,90319,-0.019440215481906553,-0.07901873767258383,-37.9091349149852,35.11606809005683,8705.0,9042.7,9356.55,9757.375898572194,8328.024101427807
2020-03-11,8465,8489,7991,8112,61807,-0.031171623074166988,-0.0157944050327935,-62.74499325432359,31.42993971532448,8553.2,8958.5,9347.466666666667,9694.809310004952,8222.190689995048
2020-03-12,7897,8110,7327,7471,131549,-0.07901873767258383,-0.003263973888208871,-114.22672376837397,24.60018443809186,8273.2,8860.05,9323.75,9808.493245534471,7911.606754465528
2020-03-13,6190,7399,6190,7353,177400,-0.0157944050327935,-0.05184881975712918,-146.07382937633835,23.584190246636226,7969.6,8750.95,9288.566666666668,9853.248412409252,7648.65158759075
2020-03-16,7399,7612,7114,7329,80665,-0.003263973888208871,-0.06821125341775791,-157.61306237453937,23.372755337915535,7727.6,8641.85,9241.133333333333,9848.624092363583,7435.0759076364175
2020-03-17,6901,7162,6758,6949,81238,-0.05184881975712918,-0.17220077220077223,-178.17866485646084,20.273598204072428,7442.8,8519.7,9194.083333333334,9882.500220134978,7156.899779865023
