Date,Open,High,Low,Close,Volume,Change,return,profit,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-01-02,15600,15600,15400,15450,313009,-0.009615384615384581,-0.032362459546925515,0,,,,,,,
2020-01-03,15500,15700,15350,15450,414893,0.0,0.006688963210702337,1,,,,,,,
2020-01-06,15350,15400,14950,14950,570371,-0.032362459546925515,-0.04983388704318936,0,,,,,,,
2020-01-07,15050,15350,15050,15050,335907,0.006688963210702337,0.07692307692307687,1,,,,,,,
2020-01-08,15000,15050,14150,14300,792494,-0.04983388704318936,0.01298701298701288,1,,,15040.0,,,,
2020-01-09,14700,15550,14650,15400,694244,0.07692307692307687,0.10576923076923084,1,,,15030.0,,,,
2020-01-10,15400,15700,15250,15600,428378,0.01298701298701288,-0.005797101449275366,0,,,15060.0,,,,
2020-01-13,15400,17600,15250,17250,3474466,0.10576923076923084,0.017492711370262315,1,,,15520.0,,,,
2020-01-14,17450,17500,16850,17150,1102477,-0.005797101449275366,-0.04871060171919772,0,,,15940.0,,,,
2020-01-15,17150,17650,16950,17450,875528,0.017492711370262315,-0.02108433734939763,0,,,16570.0,,,,
2020-01-16,17550,17550,16450,16600,1096929,-0.04871060171919772,-0.003076923076923088,0,,,16810.0,,,,
2020-01-17,16700,16900,16200,16250,648650,-0.02108433734939763,0.006172839506172867,1,,,16940.0,,,,
2020-01-20,16250,16600,16100,16200,435046,-0.003076923076923088,-0.009202453987730008,0,,,16730.0,,,,
2020-01-21,16150,16800,16150,16300,525619,0.006172839506172867,-0.003095975232198178,0,,55.84875514632785,16560.0,,,,
2020-01-22,16450,16550,16000,16150,501098,-0.009202453987730008,-0.06832298136645965,0,,53.605143266490224,16300.0,,,,
2020-01-23,16250,16250,15950,16100,377966,-0.003095975232198178,-0.0033333333333332993,0,,52.84308906874443,16200.0,,,,
2020-01-28,15300,15550,14950,15000,958055,-0.06832298136645965,-0.03678929765886285,0,,39.52920335143284,15950.0,,,,
2020-01-29,15100,15250,14850,14950,430331,-0.0033333333333332993,-0.01041666666666663,0,,39.04761810125271,15700.0,,,,
2020-01-30,14850,15050,14350,14400,582874,-0.03678929765886285,-0.0035087719298245723,0,,34.12292931960046,15320.0,,,,
