stock,probability,,max,min,mean,median
057_DB손해보험_005830,0.579710145,,,,,
058_한국타이어앤테크놀로지_161390,0.492753623,,,,,
059_포스코DX_022100,0.666666667,,,,,
060_유한양행_000100,0.536231884,,,,,
061_엘앤에프_066970,0.623188406,,,,,
062_LG이노텍_011070,0.623188406,,,,,
063_현대차2우B_005387,0.637681159,,,,,
064_금양_001570,0.637681159,,,,,
065_맥쿼리인프라_088980,0.608695652,,,,,
066_LG디스플레이_034220,0.608695652,,,,,
067_한국항공우주_047810,0.536231884,,,,,
068_두산밥캣_241560,0.579710145,,,,,
069_CJ제일제당_097950,0.536231884,,,,,
070_HD현대_267250,0.623188406,,,,,
071_삼성E&A_028050,0.608695652,,,,,
072_코스모신소재_005070,0.594202899,,,,,
073_두산로보틱스_454910,0.617647059,,,,,
074_넷마블_251270,0.579710145,,,,,
075_카카오페이_377300,0.652173913,,,,,
076_LS ELECTRIC_010120,0.594202899,,,,,
077_롯데케미칼_011170,0.710144928,,,,,
078_한화솔루션_009830,0.637681159,,,,,
079_SK바이오사이언스_302440,0.579710145,,,,,
080_삼성카드_029780,0.565217391,,,,,
081_미래에셋증권_006800,0.579710145,,,,,
082_LG유플러스_032640,0.623188406,,,,,
083_SKC_011790,0.608695652,,,,,
084_코웨이_021240,0.565217391,,,,,
085_SK아이이테크놀로지_361610,0.579710145,,,,,
086_현대제철_004020,0.623188406,,,,,
087_LS_006260,0.594202899,,,,,
088_현대오토에버_307950,0.608695652,,,,,
089_현대로템_064350,0.608695652,,,,,
090_NH투자증권_005940,0.637681159,,,,,
091_한미약품_128940,0.637681159,,,,,
092_GS_078930,0.637681159,,,,,
093_한진칼_180640,0.52173913,,,,,
094_엔씨소프트_036570,0.637681159,,,,,
095_현대건설_000720,0.637681159,,,,,
096_금호석유_011780,0.608695652,,,,,
097_LIG넥스원_079550,0.608695652,,,,,
098_CJ_001040,0.623188406,,,,,
099_오리온_271560,0.608695652,,,,,
100_현대차우_005385,0.666666667,,,,,
101_한국금융지주_071050,0.579710145,,,,,
102_한화시스템_272210,0.637681159,,,,,
103_쌍용C&E_003410,0.376811594,,,,,
104_한온시스템_018880,0.594202899,,,,,
105_키움증권_039490,0.536231884,,,,,
106_삼성증권_016360,0.608695652,,,,,
107_강원랜드_035250,0.623188406,,,,,
108_HD현대미포_010620,0.550724638,,,,,
109_롯데지주_004990,0.594202899,,,,,
110_F&F_383220,0.68115942,,,,,
111_CJ대한통운_000120,0.608695652,,,,,
112_BNK금융지주_138930,0.550724638,,,,,
113_아모레G_002790,0.594202899,,,,,
114_현대해상_001450,0.608695652,,,,,
115_효성중공업_298040,0.579710145,,,,,
116_JB금융지주_175330,0.608695652,,,,,
117_두산_000150,0.710144928,,,,,
118_한국가스공사_036460,0.52173913,,,,,
119_KCC_002380,0.623188406,,,,,
120_한화생명_088350,0.637681159,,,,,
121_한전기술_052690,0.536231884,,,,,
122_이수페타시스_007660,0.579710145,,,,,
123_대한전선_001440,0.536231884,,,,,
124_농심_004370,0.47826087,,,,,
125_휠라홀딩스_081660,0.594202899,,,,,
126_금호타이어_073240,0.608695652,,,,,
127_한미사이언스_008930,0.565217391,,,,,
128_BGF리테일_282330,0.666666667,,,,,
129_호텔신라_008770,0.623188406,,,,,
130_에스원_012750,0.565217391,,,,,
131_삼양식품_003230,0.550724638,,,,,
132_팬오션_028670,0.565217391,,,,,
133_제일기획_030000,0.652173913,,,,,
134_씨에스윈드_112610,0.594202899,,,,,
135_한솔케미칼_014680,0.565217391,,,,,
136_GS리테일_007070,0.565217391,,,,,
137_풍산_103140,0.608695652,,,,,
138_롯데에너지머티리얼즈_020150,0.608695652,,,,,
139_한화_000880,0.637681159,,,,,
140_LG화학우_051915,0.695652174,,,,,
141_롯데쇼핑_023530,0.623188406,,,,,
142_DB하이텍_000990,0.637681159,,,,,
143_OCI홀딩스_010060,0.550724638,,,,,
144_동서_026960,0.536231884,,,,,
145_한올바이오파마_009420,0.652173913,,,,,
146_HL만도_204320,0.550724638,,,,,
