idx,code,name,prob
60,100,유한양행,0.507692308
131,28670,팬오션,0.507692308
145,10060,OCI홀딩스,0.507692308
161,5850,에스엘,0.507692308
56,161390,한국타이어앤테크놀로지,0.492307692
119,1440,대한전선,0.492307692
120,52690,한전기술,0.492307692
127,12750,에스원,0.492307692
198,1720,신영증권,0.492307692
148,6040,동원산업,0.476923077
2,660,SK하이닉스,0.446153846
184,210,DL,0.446153846
103,3410,쌍용C&E,0.415384615
